experiment_id,policy_freq,profile,method,value,num_episodes,mean_episode_length,total_collisions,mean_speed,lane_0_preference,lane_1_preference,lane_2_preference,lane_3_preference,lane_4_preference,lane_5_preference,speed_violation_rate,tailgating_violation_rate,braking_violation_rate,lane_keeping_violation_rate,lane_change_tailgating_violation_rate,lane_change_braking_violation_rate,collision_violation_rate,lane_change_collision_violation_rate,cost_rate,avoided_cost_rate,unsafe_slow_rate,unsafe_lane_rate,unsafe_faster_rate,unsafe_idle_rate,unsafe_ttc_slow_rate,unsafe_ttc_lane_rate,unsafe_ttc_faster_rate,unsafe_ttc_idle_rate
0,1,efficient,nop,nan,100,20.12,59,28.908646443934018,0.24502982107355864,0.16451292246520874,0.20725646123260438,0.16003976143141152,0.07803180914512922,0.14512922465208747,0.0,0.010437375745526839,0.04125248508946322,0.37524850894632206,0.020874751491053677,0.04125248508946322,0.013916500994035786,0.01739562624254473,0.48906560636182905,0.0,0.1450381679389313,0.6984732824427481,0.11068702290076336,0.04580152671755725,0.05042016806722689,0.7016806722689075,0.09873949579831932,0.14915966386554622
1,1,efficient,nop,nan,100,22.44,52,29.019924538638865,0.2896613190730838,0.1947415329768271,0.22103386809269163,0.13101604278074866,0.07754010695187166,0.08600713012477719,0.0,0.011586452762923352,0.039661319073083776,0.2914438502673797,0.016042780748663103,0.03297682709447415,0.012923351158645277,0.012923351158645277,0.3917112299465241,0.0,0.20930232558139536,0.6345514950166113,0.12292358803986711,0.03322259136212625,0.08317214700193423,0.6731141199226306,0.10831721470019343,0.13539651837524178
2,1,efficient,nop,nan,100,22.32,54,28.829351417954204,0.2620967741935484,0.17069892473118278,0.2007168458781362,0.17831541218637992,0.07616487455197132,0.11200716845878136,0.0,0.0076164874551971325,0.035842293906810034,0.3557347670250896,0.01747311827956989,0.033154121863799284,0.012544802867383513,0.015232974910394265,0.449820788530466,0.0,0.20748299319727892,0.6666666666666666,0.10204081632653061,0.023809523809523808,0.09487666034155598,0.6717267552182163,0.1157495256166983,0.11764705882352941
3,1,efficient,nop,nan,100,22.78,55,29.09311315254459,0.28050921861281825,0.17515364354697102,0.20017559262510976,0.12423178226514486,0.08033362598770852,0.1395961369622476,0.0,0.010535557506584723,0.03950834064969271,0.33801580333625986,0.014925373134328358,0.03204565408252853,0.015364354697102721,0.012730465320456541,0.4350307287093942,0.0,0.2103448275862069,0.6689655172413793,0.08275862068965517,0.03793103448275862,0.09248554913294797,0.6763005780346821,0.10211946050096339,0.12909441233140656
4,1,efficient,nop,nan,100,20.4,62,28.736150341072566,0.21519607843137256,0.17401960784313725,0.24019607843137256,0.14558823529411766,0.09313725490196079,0.13186274509803922,0.0,0.011764705882352941,0.04803921568627451,0.36666666666666664,0.018627450980392157,0.03872549019607843,0.018627450980392157,0.012745098039215686,0.4838235294117647,0.0,0.2114695340501792,0.6379928315412187,0.1111111111111111,0.03942652329749104,0.10061601642710473,0.6509240246406571,0.11498973305954825,0.13347022587268995
