experiment_id,policy_freq,profile,method,value,num_episodes,mean_episode_length,total_collisions,mean_speed,lane_0_preference,lane_1_preference,speed_violation_rate,tailgating_violation_rate,braking_violation_rate,lane_keeping_violation_rate,lane_change_tailgating_violation_rate,lane_change_braking_violation_rate,collision_violation_rate,lane_change_collision_violation_rate,cost_rate,avoided_cost_rate,unsafe_slow_rate,unsafe_lane_rate,unsafe_faster_rate,unsafe_idle_rate,unsafe_ttc_slow_rate,unsafe_ttc_lane_rate,unsafe_ttc_faster_rate,unsafe_ttc_idle_rate
0,1,cautious,fixed,1.0,100,18.98,62,24.471147202113368,0.2581664910432034,0.7418335089567967,0.01738672286617492,0.14963119072708114,0.1422550052687039,0.24710221285563752,0.06006322444678609,0.03371970495258166,0.0136986301369863,0.016332982086406742,0.6501580611169653,1.1401475237091676,0.18166383701188454,0.5874363327674024,0.044142614601018676,0.1867572156196944,0.1067193675889328,0.6837944664031621,0.03162055335968379,0.17786561264822134
1,1,cautious,fixed,1.0,100,20.86,58,24.554937447723216,0.27900287631831255,0.7209971236816874,0.003835091083413231,0.1404602109300096,0.1457334611697028,0.2607861936720997,0.05225311601150527,0.022531160115052733,0.016778523489932886,0.009108341323106424,0.6255992329817833,1.181687440076702,0.1416382252559727,0.60580204778157,0.034129692832764506,0.21843003412969283,0.08377896613190731,0.7023172905525846,0.0196078431372549,0.19429590017825313
2,1,cautious,fixed,1.0,100,18.14,69,24.357363938494252,0.28004410143329656,0.7199558985667034,0.0033076074972436605,0.17750826901874311,0.16262403528114663,0.2651598676957001,0.06780595369349504,0.034729878721058434,0.014884233737596472,0.017089305402425578,0.7111356119073869,1.127342888643881,0.16614420062695925,0.6144200626959248,0.029780564263322883,0.1896551724137931,0.0989010989010989,0.7142857142857143,0.016483516483516484,0.17032967032967034
3,1,cautious,fixed,1.0,100,18.2,62,24.49051272438184,0.2642857142857143,0.7357142857142858,0.004395604395604396,0.15714285714285714,0.14615384615384616,0.25,0.06098901098901099,0.036813186813186814,0.01703296703296703,0.012637362637362638,0.6554945054945055,1.1252747252747253,0.11233885819521179,0.6537753222836096,0.03314917127071823,0.2007366482504604,0.08264462809917356,0.7582644628099173,0.012396694214876033,0.14669421487603307
4,1,cautious,fixed,1.0,100,19.28,60,24.500357161033183,0.2899377593360996,0.7100622406639004,0.0025933609958506223,0.15352697095435686,0.14470954356846474,0.2754149377593361,0.05653526970954357,0.03319502074688797,0.012448132780082987,0.017634854771784232,0.6659751037344398,1.1400414937759336,0.1377551020408163,0.6173469387755102,0.030612244897959183,0.21428571428571427,0.08695652173913043,0.7032136105860114,0.015122873345935728,0.1947069943289225
