experiment_id,policy_freq,profile,method,value,num_episodes,mean_episode_length,total_collisions,tet_1s,tet_2s,tet_3s,teud_1v,teud_2v,teud_3v,mean_speed,lane_0_preference,lane_1_preference,lane_2_preference,lane_3_preference,lane_4_preference,lane_5_preference,speed_violation_rate,tailgating_violation_rate,braking_violation_rate,lane_keeping_violation_rate,lane_change_tailgating_violation_rate,lane_change_braking_violation_rate,collision_violation_rate,lane_change_collision_violation_rate,safety_envelope_violation_rate,lane_change_safety_envelope_violation_rate,cost_rate,avoided_cost_rate
0,1,cautious,adaptive,0.01,100,29.54,3,0.002708192281651997,0.009478672985781991,0.03046716316858497,0.007447528774542992,0.03012863913337847,0.07989167230873392,24.558439437265257,0.21699390656736628,0.14556533513879485,0.0958023019634394,0.2711577522004062,0.10561949898442789,0.16486120514556535,0.023696682464454975,0.006093432633716994,0.005754908598510494,0.45700744752877454,0.018618821936357482,0.004400812457684496,0.0006770480704129993,0.0,nan,nan,0.515572105619499,0.8310765064319566
1,1,cautious,adaptive,0.01,100,29.39,5,0.002041510717931269,0.008166042871725076,0.02994215719632528,0.005103776794828173,0.023137121469887716,0.0731541340592038,24.64376108437428,0.24566178972439606,0.1701258931609391,0.11806736985369173,0.2463422932970398,0.10513780197346036,0.11466485199047295,0.037767948281728476,0.005103776794828173,0.002041510717931269,0.5311330384484518,0.012929567880231372,0.006464783940115686,0.0,0.0003402517863218782,nan,nan,0.5954406260632868,0.8329363729159578
2,1,cautious,adaptive,0.01,100,29.56,3,0.0040595399188092015,0.013531799729364006,0.03382949932341001,0.007442489851150203,0.02943166441136671,0.07848443843031123,24.573444631963238,0.2185385656292287,0.12144790257104195,0.12686062246278756,0.2763870094722598,0.08728010825439783,0.16948579161028418,0.04702300405953992,0.012516914749661705,0.007780784844384303,0.46650879566982406,0.02131258457374831,0.008457374830852503,0.0,0.0010148849797023004,nan,nan,0.5635994587280109,0.8132611637347767
3,1,cautious,adaptive,0.01,100,29.65,5,0.005396290050590219,0.014502529510961214,0.039797639123102864,0.011129848229342328,0.03709949409780776,0.09038785834738618,24.621581290583915,0.2478920741989882,0.12613827993254637,0.1133220910623946,0.27622259696458684,0.11736930860033727,0.11905564924114671,0.05160202360876897,0.012141652613827993,0.009443507588532884,0.4873524451939292,0.01821247892074199,0.007082630691399663,0.0006745362563237774,0.0,nan,nan,0.5858347386172007,0.8317032040472175
4,1,cautious,adaptive,0.01,100,29.93,1,0.004009355162044771,0.011359839625793518,0.034747744737721346,0.006014032743067156,0.025726695623120615,0.10491146007350484,24.56117598383773,0.18777146675576345,0.1546942866688941,0.12963581690611425,0.2783160708319412,0.10190444370197127,0.14767791513531572,0.05412629468760441,0.017039759438690277,0.005679919812896759,0.4724356832609422,0.02071500167056465,0.005679919812896759,0.0003341129301703976,0.0003341129301703976,nan,nan,0.575676578683595,0.7838289341797527
