episode_id,policy_freq,profile,method,filter,value,episode_length,collision,mean_speed,total_cost,total_avoided_cost,total_expected_cost,total_reward,total_basic_reward,total_added_reward,mean_iterations_to_converge,convergence_rate,outcome_unchanged_count,outcome_naively_augmented_count,outcome_rcps_augmented_count,outcome_projection_count,lane_0_time,lane_1_time,lane_2_time
31,1,right_lane,adaptive,False,0.05,40,0,24.997551704594578,13.5,6.5,17.20201656781137,61.04166597999771,47.79166597999771,13.25,18.0,1.0,0,0,39,1,7.0,14.0,19.0
32,1,right_lane,adaptive,False,0.05,40,0,24.018957345971565,11.5,0.5,13.245850633284135,60.508654285860125,46.258654285860125,14.25,18.0,1.0,0,0,28,12,11.0,3.0,26.0
33,1,right_lane,adaptive,False,0.05,40,0,20.518957345971565,0.0,4.5,4.697209149599075,60.629397667739944,40.629397667739944,20.0,18.0,1.0,0,0,40,0,0.0,1.0,39.0
34,1,right_lane,adaptive,False,0.05,40,0,23.518957345971113,2.0,4.5,6.036873164060353,64.42799392852466,45.42799392852466,19.0,18.0,1.0,0,0,37,3,0.0,5.0,35.0
35,1,right_lane,adaptive,False,0.05,5,1,21.15161315963453,0.0,2.5,0.8991883844137192,7.53032263192753,5.03032263192753,2.5,18.0,1.0,0,0,5,0,0.0,0.0,5.0
36,1,right_lane,adaptive,False,0.05,40,0,21.752495691584983,0.0,2.0,3.299827500082756,62.1040010269616,42.10400102696159,20.0,18.0,1.0,0,0,39,1,0.0,0.0,40.0
37,1,right_lane,adaptive,False,0.05,40,0,23.268957345971494,0.5,12.0,5.130847943538811,64.97493184351472,45.22493184351472,19.75,18.0,1.0,0,0,36,4,1.0,1.0,38.0
38,1,right_lane,adaptive,False,0.05,40,0,21.268957345971565,0.0,6.0,4.024512875395885,61.830331753554596,41.83033175355459,20.0,18.0,1.0,0,0,38,2,0.0,0.0,40.0
39,1,right_lane,adaptive,False,0.05,40,0,21.76895733466685,0.0,6.5,4.3678765840745655,62.629398311598564,42.62939831159856,20.0,18.0,1.0,0,0,38,2,0.0,1.0,39.0
40,1,right_lane,adaptive,False,0.05,40,0,21.89395734597149,2.5,15.0,7.8157644388829794,61.57898628919177,42.82898628919177,18.75,18.0,1.0,0,0,37,3,0.0,5.0,35.0
41,1,right_lane,adaptive,False,0.05,16,1,20.98489336492874,0.0,4.0,2.2138575986027718,24.4303317535545,16.4303317535545,8.0,18.0,1.0,0,0,16,0,0.0,0.0,16.0
42,1,right_lane,adaptive,False,0.05,40,0,22.518957345971565,3.5,7.5,7.769928889349103,61.8283991088609,43.3283991088609,18.5,18.0,1.0,0,0,36,4,1.0,6.0,33.0
43,1,right_lane,adaptive,False,0.05,40,0,22.64395734428684,0.0,12.0,3.9976886370968714,63.779398326990545,44.02939832699053,19.75,18.0,1.0,0,0,33,7,0.0,1.0,39.0
44,1,right_lane,adaptive,False,0.05,40,0,21.643957345971565,1.5,3.0,5.72357919287424,61.677516746793216,42.42751674679324,19.25,18.0,1.0,0,0,38,2,0.0,4.0,36.0
45,1,right_lane,adaptive,False,0.05,40,0,22.518956679580736,10.0,10.5,15.121438858182955,58.827547390294725,43.827547390294725,15.0,18.0,1.0,0,0,34,6,0.0,21.0,19.0
46,1,right_lane,adaptive,False,0.05,40,0,22.143957345971565,1.5,5.5,5.828115927102772,62.4777589230513,43.2277589230513,19.25,18.0,1.0,0,0,38,2,0.0,4.0,36.0
47,1,right_lane,adaptive,False,0.05,40,0,22.268957345971565,0.5,0.0,4.302285178191596,63.178399108860894,43.4283991088609,19.75,18.0,1.0,0,0,37,3,1.0,1.0,38.0
48,1,right_lane,adaptive,False,0.05,40,0,20.393957345971565,0.5,15.0,5.98337359726429,60.17839717648496,40.42839717648496,19.75,18.0,1.0,0,0,40,0,1.0,1.0,38.0
49,1,right_lane,adaptive,False,0.05,40,0,22.752453247386406,8.0,3.0,11.798191654204857,60.20392517225123,44.20392517225123,16.0,18.0,1.0,0,0,37,3,0.0,17.0,23.0
50,1,right_lane,adaptive,False,0.05,40,0,22.643957345971565,2.0,10.0,6.325835415675556,63.05159966507168,44.05159966507167,19.0,18.0,1.0,0,0,38,2,0.0,4.0,36.0
51,1,right_lane,adaptive,False,0.05,40,0,22.643957345971565,4.0,12.0,8.443864475793589,62.02844969429218,44.02844969429218,18.0,18.0,1.0,0,0,34,6,0.0,8.0,32.0
52,1,right_lane,adaptive,False,0.05,21,1,20.75039494470774,0.5,11.0,5.198134168982506,31.678397176484957,21.428397176484957,10.25,18.0,1.0,0,0,21,0,1.0,1.0,19.0
53,1,right_lane,adaptive,False,0.05,19,1,20.829383886255922,0.0,7.0,2.6004857271909714,28.430331753554505,18.930331753554505,9.5,18.0,1.0,0,0,19,0,0.0,0.0,19.0
54,1,right_lane,adaptive,False,0.05,40,0,22.393957345971565,0.0,1.0,3.5010626925284214,63.13033175355449,43.1303317535545,20.0,18.0,1.0,0,0,37,3,0.0,0.0,40.0
55,1,right_lane,adaptive,False,0.05,40,0,22.518957345971565,0.5,5.5,4.563425576499867,63.578399108860886,43.82839910886088,19.75,18.0,1.0,0,0,35,5,1.0,1.0,38.0
56,1,right_lane,adaptive,False,0.05,40,0,21.143957345945747,0.5,7.0,5.253173649311066,61.37839717644364,41.62839717644364,19.75,18.0,1.0,0,0,40,0,1.0,1.0,38.0
57,1,right_lane,adaptive,False,0.05,40,0,20.75249644062177,0.0,1.0,3.4440364129841328,61.003060219217346,41.003060219217346,20.0,18.0,1.0,0,0,40,0,0.0,1.0,39.0
58,1,right_lane,adaptive,False,0.05,40,0,20.393957345971565,0.0,0.0,3.847062051296234,60.45320089613101,40.45320089613101,20.0,18.0,1.0,0,0,40,0,0.0,0.0,40.0
59,1,right_lane,adaptive,False,0.05,40,0,21.516504195735575,0.5,7.0,5.323850907385349,61.974472136107366,42.224472136107366,19.75,18.0,1.0,0,0,40,0,1.0,1.0,38.0
60,1,right_lane,adaptive,False,0.05,40,0,21.643957345971565,0.0,0.5,2.95872393429363,62.43280649231849,42.43280649231849,20.0,18.0,1.0,0,0,38,2,0.0,1.0,39.0
61,1,right_lane,adaptive,False,0.05,40,0,22.768957345971565,5.0,3.0,8.420850110473111,61.72839497379011,44.2283949737901,17.5,18.0,1.0,0,0,38,2,2.0,7.0,31.0
62,1,right_lane,adaptive,False,0.05,40,0,22.268957345971565,0.5,4.5,4.526154659191889,63.17839840434078,43.42839840434078,19.75,18.0,1.0,0,0,39,1,1.0,1.0,38.0
63,1,right_lane,adaptive,False,0.05,40,0,23.018957345971565,7.0,15.5,11.919260183494771,61.12939488823197,44.62939488823196,16.5,18.0,1.0,0,0,38,2,1.0,14.0,25.0
64,1,right_lane,adaptive,False,0.05,40,0,21.643957345971565,2.0,4.5,5.802777498312935,61.429639938752445,42.429639938752445,19.0,18.0,1.0,0,0,33,7,0.0,4.0,36.0
65,1,right_lane,adaptive,False,0.05,33,1,23.81085738905644,0.0,9.5,3.952912282106354,54.3293983296861,37.82939832968611,16.5,18.0,1.0,0,0,28,5,0.0,1.0,32.0
66,1,right_lane,adaptive,False,0.05,28,1,21.634224779959375,0.5,9.0,4.681478531540051,42.878398404340764,29.12839840434078,13.75,18.0,1.0,0,0,25,3,1.0,1.0,26.0
67,1,right_lane,adaptive,False,0.05,40,0,21.143957345971565,0.0,3.0,3.7911420315504074,61.12939766843067,41.12939766843068,20.0,18.0,1.0,0,0,40,0,0.0,1.0,39.0
68,1,right_lane,adaptive,False,0.05,40,0,25.266504197445606,6.5,6.0,10.133413572411882,64.97381773138417,48.22381773138417,16.75,18.0,1.0,0,0,33,7,0.0,14.0,26.0
69,1,right_lane,adaptive,False,0.05,40,0,20.643957345971565,0.5,1.0,4.315757259726524,60.581806564596135,40.831806564596135,19.75,18.0,1.0,0,0,40,0,1.0,1.0,38.0
70,1,right_lane,adaptive,False,0.05,40,0,20.768957345971565,0.5,17.0,6.152665264904499,60.77839910880876,41.02839910880877,19.75,18.0,1.0,0,0,40,0,1.0,1.0,38.0
71,1,right_lane,adaptive,False,0.05,40,0,22.268957345971057,0.5,3.0,4.520663284393777,63.17839910886008,43.428399108860084,19.75,18.0,1.0,0,0,39,1,1.0,1.0,38.0
72,1,right_lane,adaptive,False,0.05,40,0,21.518957344482878,0.0,5.5,4.043520248090317,62.40306021557957,42.40306021557957,20.0,18.0,1.0,0,0,38,2,0.0,1.0,39.0
73,1,right_lane,adaptive,False,0.05,40,0,20.268957345971565,0.0,17.0,5.24168536067009,60.230331755622736,40.230331755622736,20.0,18.0,1.0,0,0,40,0,0.0,0.0,40.0
74,1,right_lane,adaptive,False,0.05,40,0,22.143957345971565,0.5,0.5,1.6795853195326345,62.978398404341505,43.228398404341505,19.75,18.0,1.0,0,0,7,33,1.0,1.0,38.0
75,1,right_lane,adaptive,False,0.05,40,0,20.518957345971565,0.5,16.0,6.183891426771879,60.37839840304393,40.62839840304393,19.75,18.0,1.0,0,0,40,0,1.0,1.0,38.0
76,1,right_lane,adaptive,False,0.05,40,0,20.268957345971565,0.0,7.5,4.221569396555424,60.2303317535545,40.2303317535545,20.0,18.0,1.0,0,0,40,0,0.0,0.0,40.0
77,1,right_lane,adaptive,False,0.05,40,0,22.143957345971565,3.0,7.0,6.970744484753595,61.728985917419166,43.22898591741917,18.5,18.0,1.0,0,0,38,2,0.0,6.0,34.0
78,1,right_lane,adaptive,False,0.05,40,0,21.268957345971565,0.0,3.5,4.020121841276705,61.82939766774115,41.82939766774114,20.0,18.0,1.0,0,0,37,3,0.0,1.0,39.0
79,1,right_lane,adaptive,False,0.05,40,0,21.018957345749705,0.5,7.0,4.123043381609023,61.17839840398453,41.42839840398452,19.75,18.0,1.0,0,0,30,10,1.0,1.0,38.0
80,1,right_lane,adaptive,False,0.05,40,0,24.393950894458577,2.0,10.0,5.988614361350528,65.82827012962656,46.82827012962656,19.0,18.0,1.0,0,0,27,13,0.0,4.0,36.0
81,1,right_lane,adaptive,False,0.05,40,0,21.766466606367043,0.0,2.5,4.03014550358057,62.62542210932954,42.62542210932954,20.0,18.0,1.0,0,0,40,0,0.0,1.0,39.0
82,1,right_lane,adaptive,False,0.05,40,0,21.268957345971565,0.0,3.0,2.8223007610358763,61.83379213911206,41.83379213911206,20.0,18.0,1.0,0,0,37,3,0.0,0.0,40.0
83,1,right_lane,adaptive,False,0.05,40,0,22.391789654732086,0.5,11.0,4.986355098197237,63.374930802877735,43.62493080287773,19.75,18.0,1.0,0,0,37,3,1.0,1.0,38.0
84,1,right_lane,adaptive,False,0.05,40,0,22.643957345971565,0.0,1.0,3.166259005680331,64.03334332788558,44.03334332788558,20.0,18.0,1.0,0,0,35,5,0.0,0.0,40.0
85,1,right_lane,adaptive,False,0.05,40,0,20.893957345971565,0.0,7.0,4.525890946388245,61.2303317535545,41.2303317535545,20.0,18.0,1.0,0,0,40,0,0.0,0.0,40.0
86,1,right_lane,adaptive,False,0.05,40,0,21.393957345971554,0.0,7.5,4.1061233058571815,62.030331753554485,42.03033175355448,20.0,18.0,1.0,0,0,40,0,0.0,0.0,40.0
87,1,right_lane,adaptive,False,0.05,40,0,21.018957345971565,0.5,1.5,3.7808812272387513,61.178398403043936,41.42839840304394,19.75,18.0,1.0,0,0,34,6,1.0,1.0,38.0
88,1,right_lane,adaptive,False,0.05,40,0,23.518957345971565,12.5,11.0,16.463432692982906,59.42524174219637,45.425241742196384,14.0,18.0,1.0,0,0,33,7,3.0,19.0,18.0
89,1,right_lane,adaptive,False,0.05,40,0,20.8939573329563,0.5,12.0,5.541415736104227,60.72839715566054,41.22839715566054,19.5,18.0,1.0,0,0,38,2,1.0,1.0,38.0
90,1,right_lane,adaptive,False,0.05,40,0,20.393957345971565,2.0,14.5,7.243312448263168,59.42898420761489,40.42898420761488,19.0,18.0,1.0,0,0,40,0,0.0,5.0,35.0
91,1,right_lane,adaptive,False,0.05,40,0,22.143957345971565,0.0,7.0,4.253381478716619,63.230331753554516,43.23033175355451,20.0,18.0,1.0,0,0,37,3,0.0,0.0,40.0
92,1,right_lane,adaptive,False,0.05,40,0,20.768957345971565,0.5,6.0,4.839921270639024,60.77839910880876,41.02839910880877,19.75,18.0,1.0,0,0,38,2,1.0,1.0,38.0
93,1,right_lane,adaptive,False,0.05,40,0,20.518957345971565,0.0,19.0,5.443373270332813,60.6303317535545,40.63033175355451,20.0,18.0,1.0,0,0,40,0,0.0,0.0,40.0
94,1,right_lane,adaptive,False,0.05,40,0,21.518957345971565,0.0,17.0,4.575171451368078,62.23033175355451,42.2303317535545,20.0,18.0,1.0,0,0,38,2,0.0,0.0,40.0
95,1,right_lane,adaptive,False,0.05,40,0,21.768957345971565,0.0,2.5,3.530526147380442,62.62939766843071,42.62939766843073,20.0,18.0,1.0,0,0,35,5,0.0,1.0,39.0
96,1,right_lane,adaptive,False,0.05,40,0,21.268957345967657,0.5,2.0,4.620019152760506,61.57839910880253,41.82839910880251,19.75,18.0,1.0,0,0,40,0,1.0,1.0,38.0
97,1,right_lane,adaptive,False,0.05,40,0,23.643957345971565,0.0,6.0,3.499020051927573,65.62939766774726,45.629397667747256,20.0,18.0,1.0,0,0,32,8,0.0,1.0,39.0
98,1,right_lane,adaptive,False,0.05,40,0,22.018957345971565,0.0,6.0,3.7471774431342055,63.02939766774115,43.029397667741144,20.0,18.0,1.0,0,0,37,3,0.0,1.0,39.0
99,1,right_lane,adaptive,False,0.05,40,0,22.51895090893671,2.0,6.5,5.987246897191653,62.82769383505543,43.827693835055435,19.0,18.0,1.0,0,0,30,10,1.0,4.0,35.0
100,1,right_lane,adaptive,False,0.05,40,0,23.143957345971565,0.5,1.0,3.9527427423977315,64.57840734731667,44.82840734731667,19.75,18.0,1.0,0,0,35,5,1.0,1.0,38.0
