experiment_id,policy_freq,profile,method,value,num_episodes,mean_episode_length,total_collisions,mean_speed,lane_0_preference,lane_1_preference,lane_2_preference,lane_3_preference,speed_violation_rate,tailgating_violation_rate,braking_violation_rate,lane_keeping_violation_rate,lane_change_tailgating_violation_rate,lane_change_braking_violation_rate,collision_violation_rate,lane_change_collision_violation_rate,cost_rate,avoided_cost_rate,unsafe_slow_rate,unsafe_lane_rate,unsafe_faster_rate,unsafe_idle_rate,unsafe_ttc_slow_rate,unsafe_ttc_lane_rate,unsafe_ttc_faster_rate,unsafe_ttc_idle_rate
0,1,cautious,fixed,1.0,100,28.82,9,25.946375274574592,0.13740458015267176,0.12664816099930604,0.4354614850798057,0.3004857737682165,0.22831367106176267,0.010062456627342124,0.023941707147814018,0.2532963219986121,0.020471894517696043,0.007286606523247745,0.0034698126301179735,0.003122831367106176,0.5433726578764747,0.8393476752255378,0.21800947867298578,0.7156398104265402,0.03317535545023697,0.03317535545023697,0.09292035398230089,0.7035398230088495,0.07964601769911504,0.12389380530973451
1,1,cautious,fixed,1.0,100,28.71,11,25.72962673065019,0.14211076280041798,0.10867293625914315,0.468826192964124,0.28039010797631486,0.18773946360153257,0.02681992337164751,0.024730059212817835,0.2396377568791362,0.014629049111807733,0.006966213862765587,0.0024381748519679554,0.0034831069313827935,0.5005224660397074,0.9017763845350052,0.12955465587044535,0.7651821862348178,0.020242914979757085,0.08502024291497975,0.07111111111111111,0.7244444444444444,0.06222222222222222,0.14222222222222222
2,1,cautious,fixed,1.0,100,29.29,6,25.72807750519458,0.1280300443837487,0.11778764083304882,0.4752475247524752,0.2789347900307272,0.18675315807442813,0.010242403550699898,0.02116763400477979,0.2376237623762376,0.014680778422669852,0.004438374871969956,0.0010242403550699897,0.0020484807101399795,0.47490611130078525,0.8658245134858313,0.2694063926940639,0.6529680365296804,0.0091324200913242,0.0684931506849315,0.09090909090909091,0.7181818181818181,0.06818181818181818,0.12272727272727273
3,1,cautious,fixed,1.0,100,29.08,8,25.95126000618754,0.12723521320495185,0.12861072902338377,0.48418156808803303,0.25997248968363135,0.23624484181568087,0.0171939477303989,0.023383768913342505,0.2469050894085282,0.017881705639614855,0.01031636863823934,0.0020632737276478678,0.006189821182943604,0.5519257221458047,0.8308115543328748,0.25,0.6640625,0.015625,0.0703125,0.0796812749003984,0.7131474103585658,0.06772908366533864,0.1394422310756972
4,1,cautious,fixed,1.0,100,29.53,3,25.752144086873514,0.09617338300033863,0.12190992211310532,0.4971215712834406,0.2847951236031155,0.2045377582119878,0.011852353538774127,0.02031832035218422,0.20656959024720623,0.01591601760921097,0.0044023027429732475,0.0016931933626820183,0.002031832035218422,0.46359634270233663,0.8865560447003048,0.34296028880866425,0.6173285198555957,0.0036101083032490976,0.036101083032490974,0.09482758620689655,0.7413793103448276,0.03017241379310345,0.1336206896551724
