experiment_id,policy_freq,profile,method,value,num_episodes,mean_episode_length,total_collisions,mean_speed,lane_0_preference,lane_1_preference,lane_2_preference,lane_3_preference,lane_4_preference,lane_5_preference,speed_violation_rate,tailgating_violation_rate,braking_violation_rate,lane_keeping_violation_rate,lane_change_tailgating_violation_rate,lane_change_braking_violation_rate,collision_violation_rate,lane_change_collision_violation_rate,cost_rate,avoided_cost_rate,unsafe_slow_rate,unsafe_lane_rate,unsafe_faster_rate,unsafe_idle_rate,unsafe_ttc_slow_rate,unsafe_ttc_lane_rate,unsafe_ttc_faster_rate,unsafe_ttc_idle_rate
0,1,cautious,projection,nan,100,29.83,1,24.157881272637322,0.14213878645658734,0.1092859537378478,0.016426416359369762,0.4126718069057995,0.1287294669795508,0.1907475695608448,0.0,0.0,0.0,0.25645323499832384,0.00033523298692591353,0.0,0.0,0.0,0.25678846798524974,0.914515588333892,0.7676056338028169,0.2323943661971831,0.0,0.0,0.5384615384615384,0.46153846153846156,0.0,0.0
1,1,cautious,projection,nan,100,29.74,1,24.045075077768846,0.17484868863483524,0.09347679892400806,0.01613987895090787,0.42905178211163414,0.16711499663752521,0.11936785474108944,0.0,0.0,0.0,0.2706792199058507,0.0,0.0003362474781439139,0.0,0.0,0.2710154673839946,0.9391392064559516,0.7877094972067039,0.2122905027932961,0.0,0.0,0.5128205128205128,0.48717948717948717,0.0,0.0
2,1,cautious,projection,nan,100,29.71,2,23.938470143975998,0.10501514641534837,0.04543924604510266,0.018175698418041064,0.46449007068327164,0.14641534836755302,0.22046449007068328,0.0,0.0,0.003365870077415012,0.15550319757657355,0.0010097610232245036,0.0,0.0006731740154830024,0.0,0.15987882867721306,0.9518680578929654,0.8082595870206489,0.19174041297935104,0.0,0.0,0.5892857142857143,0.4107142857142857,0.0,0.0
3,1,cautious,projection,nan,100,30.0,0,23.891134826491193,0.19833333333333333,0.07266666666666667,0.017,0.41733333333333333,0.12933333333333333,0.16533333333333333,0.0,0.0,0.0,0.277,0.001,0.0,0.0,0.0,0.278,0.9413333333333334,0.826302729528536,0.17369727047146402,0.0,0.0,0.5918367346938775,0.40816326530612246,0.0,0.0
4,1,cautious,projection,nan,100,30.0,0,24.003473729130018,0.12766666666666668,0.09166666666666666,0.025,0.44266666666666665,0.14833333333333334,0.16466666666666666,0.0,0.0,0.0,0.23133333333333334,0.0003333333333333333,0.0,0.0,0.0,0.23166666666666666,0.901,0.8060941828254847,0.19390581717451524,0.0,0.0,0.25,0.75,0.0,0.0
