episode_id,policy_freq,profile,method,value,episode_length,collision,mean_speed,lane_0_time,lane_1_time,lane_2_time,lane_3_time,speed_violation_count,tailgating_violation_count,braking_violation_count,lane_keeping_violation_count,lane_change_tailgating_violation_count,lane_change_braking_violation_count,collision_violation_count,lane_change_collision_violation_count,total_cost,total_avoided_cost,total_reward,unsafe_frames,unsafe_slow_count,unsafe_lane_left_count,unsafe_lane_right_count,unsafe_faster_count,unsafe_idle_count,unsafe_ttc_frames,unsafe_ttc_slow_count,unsafe_ttc_lane_left_count,unsafe_ttc_lane_right_count,unsafe_ttc_faster_count,unsafe_ttc_idle_count,mean_iterations_to_converge,convergence_rate,outcome_unchanged_count,outcome_naively_augmented_count,outcome_scps_augmented_count,outcome_projection_count
24,1,cautious,nop,nan,30,0,29.798981664924852,0.0,3.0,13.0,14.0,30,0,0,3,0,1,0,0,34.0,0.0,11.758777997909814,1,0,0,1,0,0,3,0,1,2,0,0,nan,0.0,0,0,0,0
25,1,cautious,nop,nan,30,0,29.798981664924852,0.0,10.0,12.0,8.0,30,0,6,10,0,0,0,0,46.0,0.0,11.758777997909814,2,0,1,1,0,0,12,0,3,3,4,2,nan,0.0,0,0,0,0
26,1,cautious,nop,nan,30,0,29.798981664924852,16.0,10.0,1.0,3.0,30,0,5,27,0,0,0,0,62.0,0.0,11.758777997909814,4,0,2,2,0,0,11,0,5,2,2,2,nan,0.0,0,0,0,0
27,1,cautious,nop,nan,30,0,29.798981664924852,0.0,9.0,15.0,6.0,30,0,3,9,2,0,0,0,44.0,0.0,11.758777997909814,3,0,1,2,0,0,7,0,3,2,0,2,nan,0.0,0,0,0,0
28,1,cautious,nop,nan,30,0,29.798981664924852,2.0,9.0,10.0,9.0,30,0,3,12,1,1,0,0,47.0,0.0,11.758777997909814,2,0,1,1,0,0,9,0,3,3,2,1,nan,0.0,0,0,0,0
29,1,cautious,nop,nan,30,0,29.798981664924852,4.0,21.0,5.0,0.0,30,0,2,25,3,1,0,1,61.0,0.0,11.758777997909814,1,0,1,0,0,0,5,0,2,1,0,2,nan,0.0,0,0,0,0
30,1,cautious,nop,nan,30,0,29.798981664924852,0.0,1.0,8.0,21.0,30,0,0,1,2,1,0,1,34.0,0.0,11.758777997909814,0,0,0,0,0,0,3,0,1,2,0,0,nan,0.0,0,0,0,0
31,1,cautious,nop,nan,30,0,29.465653191601618,15.0,15.0,0.0,0.0,28,0,4,30,1,0,1,0,63.0,0.0,11.358783829921938,2,1,0,1,0,0,6,1,0,2,2,1,nan,0.0,0,0,0,0
32,1,cautious,nop,nan,14,1,29.569246424846778,14.0,0.0,0.0,0.0,14,1,2,14,0,0,0,0,31.0,0.0,4.3587779979141965,2,0,1,1,0,0,3,0,1,1,1,0,nan,0.0,0,0,0,0
33,1,cautious,nop,nan,23,1,29.737802171641114,5.0,14.0,1.0,3.0,23,2,4,18,1,2,1,1,50.0,0.0,7.958777997909824,3,0,1,1,1,0,7,0,1,3,2,1,nan,0.0,0,0,0,0
34,1,cautious,nop,nan,30,0,29.798981664924852,9.0,17.0,4.0,0.0,30,0,4,27,1,1,0,1,63.0,0.0,11.758777997909814,2,0,2,0,0,0,9,0,3,2,2,2,nan,0.0,0,0,0,0
35,1,cautious,nop,nan,30,0,29.798981664924852,7.0,6.0,17.0,0.0,30,2,7,14,1,1,1,0,55.0,0.0,11.758777997909814,5,0,2,1,2,0,13,0,4,3,4,2,nan,0.0,0,0,0,0
36,1,cautious,nop,nan,30,0,29.798981664924852,6.0,11.0,13.0,0.0,30,1,4,18,1,0,0,0,54.0,0.0,11.758777997909814,2,0,1,0,0,1,10,0,3,3,0,4,nan,0.0,0,0,0,0
37,1,cautious,nop,nan,3,1,27.99984829440037,3.0,0.0,0.0,0.0,3,2,2,3,0,0,0,0,10.0,0.0,-0.040018204671955604,3,0,1,1,1,0,2,0,1,1,0,0,nan,0.0,0,0,0,0
38,1,cautious,nop,nan,30,0,29.798981664924852,3.0,7.0,12.0,8.0,30,0,2,11,1,1,0,0,45.0,0.0,11.758777997909814,2,0,2,0,0,0,7,0,3,2,1,1,nan,0.0,0,0,0,0
39,1,cautious,nop,nan,30,0,29.798981664924852,0.0,10.0,20.0,0.0,30,1,5,11,1,1,0,1,49.0,0.0,11.758777997909814,2,0,1,0,1,0,10,0,3,2,1,4,nan,0.0,0,0,0,0
40,1,cautious,nop,nan,30,0,29.798981664924852,5.0,12.0,4.0,9.0,30,0,3,18,1,0,0,0,52.0,0.0,11.758777997909814,1,0,1,0,0,0,7,0,3,1,2,1,nan,0.0,0,0,0,0
41,1,cautious,nop,nan,18,1,29.66496944154143,9.0,4.0,3.0,2.0,18,0,3,13,0,1,0,0,35.0,0.0,5.958777997909832,3,0,0,3,0,0,7,0,1,3,0,3,nan,0.0,0,0,0,0
42,1,cautious,nop,nan,16,1,29.623090621734303,10.0,2.0,2.0,2.0,16,1,4,11,0,1,1,0,33.0,0.0,5.158777997909955,2,0,0,2,0,0,7,0,0,5,1,1,nan,0.0,0,0,0,0
43,1,cautious,nop,nan,30,0,29.798981664924852,0.0,15.0,9.0,6.0,30,0,4,15,2,1,0,1,52.0,0.0,11.758777997909814,2,0,1,1,0,0,9,0,2,3,3,1,nan,0.0,0,0,0,0
