episode_id,policy_freq,profile,method,filter,value,episode_length,collision,mean_speed,lane_0_time,lane_1_time,lane_2_time,total_cost,total_avoided_cost,total_reward,total_basic_reward,total_added_reward,mean_iterations_to_converge,convergence_rate,outcome_unchanged_count,outcome_naively_augmented_count,outcome_rcps_augmented_count,outcome_projection_count
34,1,right_lane,adaptive,True,3.1623,40,0,21.7667895688869,0.0,1.0,39.0,0.0,12.0,62.62592922440636,42.62592922440636,20.0,nan,0.0,0,0,0,40
35,1,right_lane,adaptive,True,3.1623,40,0,21.393957345971565,0.0,3.0,37.0,1.5,10.5,61.28264152209658,42.03264152209658,19.25,18.0,0.05,0,0,2,38
36,1,right_lane,adaptive,True,3.1623,40,0,21.752495691584983,0.0,0.0,40.0,0.0,2.0,62.60399310653599,42.60399310653599,20.0,nan,0.0,0,0,0,40
37,1,right_lane,adaptive,True,3.1623,40,0,23.268957345971494,1.0,1.0,38.0,0.5,12.0,64.97493184351472,45.22493184351472,19.75,nan,0.0,0,0,0,40
38,1,right_lane,adaptive,True,3.1623,40,0,21.268957345971565,0.0,0.0,40.0,0.0,6.0,61.830331753554596,41.83033175355459,20.0,nan,0.0,0,0,0,40
39,1,right_lane,adaptive,True,3.1623,40,0,21.76895733466685,0.0,1.0,39.0,0.0,6.5,62.629398311598564,42.62939831159856,20.0,nan,0.0,0,0,0,40
40,1,right_lane,adaptive,True,3.1623,24,1,22.32326224328594,0.0,0.0,24.0,0.5,8.0,38.030331769260144,26.030331769260144,12.0,nan,0.0,0,0,0,24
41,1,right_lane,adaptive,True,3.1623,40,0,21.393957345971565,0.0,3.0,37.0,1.5,9.0,60.52963774912759,41.52963774912758,19.0,18.0,0.05,0,0,2,38
42,1,right_lane,adaptive,True,3.1623,36,1,22.79884149552396,1.0,1.0,34.0,1.0,5.5,57.5783991088609,39.8283991088609,17.75,nan,0.0,0,0,0,36
43,1,right_lane,adaptive,True,3.1623,40,0,22.64395734428684,0.0,1.0,39.0,0.0,12.0,63.279398326990545,43.52939832699053,19.75,nan,0.0,0,0,0,40
44,1,right_lane,adaptive,True,3.1623,9,1,21.750921098254235,0.0,1.0,8.0,0.5,4.5,13.929397510678058,9.429397510678058,4.5,nan,0.0,0,0,0,9
45,1,right_lane,adaptive,True,3.1623,40,0,21.268957345971565,0.0,1.0,39.0,0.0,6.5,61.07939766774115,41.32939766774115,19.75,nan,0.0,0,0,0,40
46,1,right_lane,adaptive,True,3.1623,20,1,21.78791469194299,0.0,1.0,19.0,0.0,5.5,31.229397667741043,21.229397667741036,10.0,nan,0.0,0,0,0,20
47,1,right_lane,adaptive,True,3.1623,40,0,22.268957345971565,1.0,1.0,38.0,0.5,0.0,62.678399108860894,42.9283991088609,19.75,nan,0.0,0,0,0,40
48,1,right_lane,adaptive,True,3.1623,40,0,20.393957345971565,1.0,1.0,38.0,0.5,15.0,60.17839717648496,40.42839717648496,19.75,nan,0.0,0,0,0,40
49,1,right_lane,adaptive,True,3.1623,40,0,22.76891480436816,0.0,1.0,39.0,0.0,5.0,64.22932844813633,44.22932844813632,20.0,nan,0.0,0,0,0,40
50,1,right_lane,adaptive,True,3.1623,23,1,23.076447558211395,0.0,0.0,23.0,0.5,7.0,37.1303908566216,25.630390856621602,11.5,nan,0.0,0,0,0,23
51,1,right_lane,adaptive,True,3.1623,40,0,20.518957345971565,0.0,0.0,40.0,0.0,17.5,59.88033175355449,40.13033175355449,19.75,nan,0.0,0,0,0,40
52,1,right_lane,adaptive,True,3.1623,21,1,20.75039494470774,1.0,1.0,19.0,1.0,10.5,31.678397176484957,21.428397176484957,10.25,nan,0.0,0,0,0,21
53,1,right_lane,adaptive,True,3.1623,40,0,21.643957345967134,0.0,4.0,36.0,2.0,9.5,60.67899157208343,41.928991572083426,18.75,18.0,0.1,0,0,4,36
54,1,right_lane,adaptive,True,3.1623,40,0,22.393957345971565,0.0,0.0,40.0,0.0,1.0,63.63033175356065,43.630331753560654,20.0,nan,0.0,0,0,0,40
55,1,right_lane,adaptive,True,3.1623,40,0,22.518957345971565,1.0,1.0,38.0,0.5,5.5,63.578399108860886,43.82839910886088,19.75,nan,0.0,0,0,0,40
