episode_id,policy_freq,profile,method,filter,value,episode_length,collision,mean_speed,lane_0_time,lane_1_time,lane_2_time,total_cost,total_avoided_cost,total_reward,total_basic_reward,total_added_reward,mean_iterations_to_converge,convergence_rate,outcome_unchanged_count,outcome_naively_augmented_count,outcome_rcps_augmented_count,outcome_projection_count
0,1,right_lane,adaptive,True,0.1,40,0,21.51895734428684,1.0,1.0,38.0,0.5,5.0,61.478398401643936,42.22839840164393,19.25,18.0,0.925,0,0,37,3
1,1,right_lane,adaptive,True,0.1,40,0,21.12749644062177,1.0,7.0,32.0,3.5,10.0,59.85214088514219,41.60214088514219,18.25,18.0,0.975,0,0,39,1
2,1,right_lane,adaptive,True,0.1,40,0,20.768957345971565,0.0,0.0,40.0,0.0,0.5,61.05320089613101,41.05320089613101,20.0,18.0,0.175,0,0,7,33
3,1,right_lane,adaptive,True,0.1,40,0,21.3939566082395,0.0,0.0,40.0,0.0,8.0,62.03033057318319,42.0303305731832,20.0,18.0,0.9,0,0,36,4
4,1,right_lane,adaptive,True,0.1,40,0,21.018919754889087,0.0,1.0,39.0,0.0,1.0,61.429338546940656,41.42933854694065,20.0,18.0,0.875,0,0,35,5
5,1,right_lane,adaptive,True,0.1,40,0,23.0189509930675,1.0,1.0,38.0,0.5,1.5,64.37844046573316,44.62844046573316,19.75,18.0,0.8,0,0,32,8
6,1,right_lane,adaptive,True,0.1,40,0,21.768951743818228,1.0,1.0,38.0,0.5,6.5,62.378397039131855,42.628397039131855,19.75,18.0,0.95,0,0,38,2
7,1,right_lane,adaptive,True,0.1,40,0,20.518957345971565,0.0,1.0,39.0,0.0,9.0,60.62940545081388,40.62940545081388,20.0,18.0,1.0,0,0,40,0
8,1,right_lane,adaptive,True,0.1,40,0,21.893957345971565,1.0,1.0,38.0,0.5,2.0,62.578398404340774,42.82839840434077,19.75,18.0,0.9,0,0,36,4
9,1,right_lane,adaptive,True,0.1,40,0,21.893957345971565,1.0,6.0,33.0,3.5,2.0,61.07846110750836,42.82846110750837,18.25,18.0,0.675,0,0,27,13
10,1,right_lane,adaptive,True,0.1,40,0,22.268957345971565,0.0,0.0,40.0,0.0,0.5,63.4303317535545,43.430331753554505,20.0,18.0,0.425,0,0,17,23
11,1,right_lane,adaptive,True,0.1,40,0,21.393914055586297,1.0,1.0,38.0,0.5,4.5,61.77832791186854,42.02832791186854,19.75,18.0,0.95,0,0,38,2
12,1,right_lane,adaptive,True,0.1,40,0,21.018957345971565,1.0,1.0,38.0,0.5,15.5,61.17845854769084,41.42845854769084,19.75,18.0,0.875,0,0,35,5
13,1,right_lane,adaptive,True,0.1,40,0,22.643957345971486,0.0,0.0,40.0,0.0,2.0,64.03033175355436,44.03033175355438,20.0,18.0,0.875,0,0,35,5
14,1,right_lane,adaptive,True,0.1,40,0,21.393957345971565,0.0,0.0,40.0,0.0,6.0,62.030331753554606,42.030331753554606,20.0,18.0,0.85,0,0,34,6
15,1,right_lane,adaptive,True,0.1,40,0,21.01895659544609,1.0,1.0,38.0,0.5,4.0,61.178395975644214,41.42839597564421,19.75,18.0,0.925,0,0,37,3
16,1,right_lane,adaptive,True,0.1,40,0,21.768957345971554,1.0,1.0,38.0,0.5,8.0,62.37839944777864,42.62839944777865,19.75,18.0,0.65,0,0,26,14
17,1,right_lane,adaptive,True,0.1,40,0,23.143957345971565,1.0,1.0,38.0,0.5,8.5,64.5783991088609,44.82839910886091,19.75,18.0,0.7,0,0,28,12
18,1,right_lane,adaptive,True,0.1,19,1,24.776752099171972,0.0,0.0,19.0,0.5,0.0,31.930331595370706,22.430331595370706,9.5,18.0,0.3684210526315789,0,0,7,12
19,1,right_lane,adaptive,True,0.1,10,1,21.07582937702842,0.0,0.0,10.0,0.5,4.5,14.480331750811368,9.73033175081137,4.75,18.0,1.0,0,0,10,0
20,1,right_lane,adaptive,True,0.1,40,0,21.768957345941836,1.0,2.0,37.0,1.0,8.5,61.37804908810769,42.12804908810768,19.25,18.0,0.925,0,0,37,3
21,1,right_lane,adaptive,True,0.1,40,0,21.14395723434353,1.0,1.0,38.0,0.5,4.0,61.37839699792141,41.62839699792141,19.75,18.0,0.85,0,0,34,6
22,1,right_lane,adaptive,True,0.1,40,0,22.143628695453636,8.0,7.0,25.0,10.5,16.0,57.97445331388017,43.22445331388017,14.75,18.0,1.0,0,0,40,0
23,1,right_lane,adaptive,True,0.1,40,0,21.018957345971565,0.0,0.0,40.0,0.0,1.5,61.430788347819494,41.430788347819494,20.0,18.0,0.95,0,0,38,2
24,1,right_lane,adaptive,True,0.1,40,0,21.26895733124236,0.0,1.0,39.0,0.0,9.5,61.82939649113504,41.82939649113504,20.0,18.0,0.95,0,0,38,2
25,1,right_lane,adaptive,True,0.1,40,0,20.893957345971565,0.0,0.0,40.0,0.0,9.5,61.23033177401779,41.23033177401779,20.0,18.0,0.975,0,0,39,1
26,1,right_lane,adaptive,True,0.1,28,1,21.277081922816514,0.0,0.0,28.0,0.5,5.5,43.2303317535545,29.230331753554502,14.0,18.0,0.9285714285714286,0,0,26,2
27,1,right_lane,adaptive,True,0.1,40,0,21.12749644062177,0.0,1.0,39.0,0.0,16.0,60.85306021987104,41.10306021987105,19.75,18.0,1.0,0,0,40,0
28,1,right_lane,adaptive,True,0.1,40,0,21.893957345971565,0.0,0.0,40.0,0.0,1.0,63.02686344757135,43.02686344757134,20.0,18.0,0.775,0,0,31,9
29,1,right_lane,adaptive,True,0.1,40,0,20.893957345971565,1.0,1.0,38.0,0.5,6.5,60.97839840434078,41.22839840434077,19.75,18.0,1.0,0,0,40,0
30,1,right_lane,adaptive,True,0.1,40,0,23.518957345971565,0.0,0.0,40.0,0.0,0.0,65.4303317535545,45.430331753554505,20.0,18.0,0.75,0,0,30,10
31,1,right_lane,adaptive,True,0.1,40,0,20.518957345971565,0.0,9.0,31.0,4.0,18.0,58.62939271059105,40.62939271059104,18.0,18.0,1.0,0,0,40,0
32,1,right_lane,adaptive,True,0.1,40,0,20.268957345971565,1.0,2.0,37.0,1.0,9.5,59.901711639595575,40.401711639595575,19.5,18.0,1.0,0,0,40,0
33,1,right_lane,adaptive,True,0.1,40,0,20.518957345971565,0.0,1.0,39.0,0.0,4.5,60.629397667739944,40.629397667739944,20.0,18.0,1.0,0,0,40,0
34,1,right_lane,adaptive,True,0.1,40,0,21.7667895688869,0.0,1.0,39.0,0.0,12.0,62.62592922440636,42.62592922440636,20.0,18.0,0.9,0,0,36,4
35,1,right_lane,adaptive,True,0.1,40,0,21.393957345971565,0.0,3.0,37.0,1.5,10.5,61.28264152209658,42.03264152209658,19.25,18.0,0.925,0,0,37,3
36,1,right_lane,adaptive,True,0.1,40,0,21.752495691584983,0.0,0.0,40.0,0.0,2.0,62.60399310653599,42.60399310653599,20.0,18.0,0.95,0,0,38,2
37,1,right_lane,adaptive,True,0.1,40,0,23.268957345971494,1.0,1.0,38.0,0.5,12.0,64.97493184351472,45.22493184351472,19.75,18.0,0.9,0,0,36,4
38,1,right_lane,adaptive,True,0.1,40,0,21.268957345971565,0.0,0.0,40.0,0.0,6.0,61.830331753554596,41.83033175355459,20.0,18.0,0.925,0,0,37,3
39,1,right_lane,adaptive,True,0.1,40,0,21.76895733466685,0.0,1.0,39.0,0.0,6.5,62.629398311598564,42.62939831159856,20.0,18.0,0.925,0,0,37,3
40,1,right_lane,adaptive,True,0.1,24,1,22.32326224328594,0.0,0.0,24.0,0.5,8.0,38.030331769260144,26.030331769260144,12.0,18.0,0.875,0,0,21,3
41,1,right_lane,adaptive,True,0.1,40,0,21.393957345971565,0.0,3.0,37.0,1.5,9.0,60.52963774912759,41.52963774912758,19.0,18.0,1.0,0,0,40,0
42,1,right_lane,adaptive,True,0.1,36,1,22.79884149552396,1.0,1.0,34.0,1.0,5.5,57.5783991088609,39.8283991088609,17.75,18.0,0.8333333333333334,0,0,30,6
43,1,right_lane,adaptive,True,0.1,40,0,22.64395734428684,0.0,1.0,39.0,0.0,12.0,63.279398326990545,43.52939832699053,19.75,18.0,0.8,0,0,32,8
44,1,right_lane,adaptive,True,0.1,9,1,21.750921098254235,0.0,1.0,8.0,0.5,4.5,13.929397510678058,9.429397510678058,4.5,18.0,1.0,0,0,9,0
45,1,right_lane,adaptive,True,0.1,40,0,22.518956679580736,0.0,21.0,19.0,10.0,10.5,58.077547390294725,43.327547390294725,14.75,18.0,0.8,0,0,32,8
46,1,right_lane,adaptive,True,0.1,40,0,22.143957345971565,0.0,4.0,36.0,1.5,5.5,62.4777589230513,43.2277589230513,19.25,18.0,0.95,0,0,38,2
47,1,right_lane,adaptive,True,0.1,40,0,22.268957345971565,1.0,1.0,38.0,0.5,0.0,63.178399108860894,43.4283991088609,19.75,18.0,0.875,0,0,35,5
48,1,right_lane,adaptive,True,0.1,40,0,20.393957345971565,1.0,1.0,38.0,0.5,15.0,60.17839717648496,40.42839717648496,19.75,18.0,1.0,0,0,40,0
49,1,right_lane,adaptive,True,0.1,40,0,22.752453247386406,0.0,17.0,23.0,8.0,3.0,60.20392517225123,44.20392517225123,16.0,18.0,0.875,0,0,35,5
50,1,right_lane,adaptive,True,0.1,40,0,22.643957345971565,0.0,4.0,36.0,2.0,10.0,63.05159966507168,44.05159966507167,19.0,18.0,0.95,0,0,38,2
51,1,right_lane,adaptive,True,0.1,40,0,22.643957345971565,0.0,8.0,32.0,4.0,12.0,62.02844969429218,44.02844969429218,18.0,18.0,0.85,0,0,34,6
52,1,right_lane,adaptive,True,0.1,21,1,20.75039494470774,1.0,1.0,19.0,1.0,10.5,31.678397176484957,21.428397176484957,10.25,18.0,1.0,0,0,21,0
53,1,right_lane,adaptive,True,0.1,40,0,21.518957332731045,0.0,8.0,32.0,4.0,11.5,59.480325456307696,41.730325456307696,17.75,18.0,0.925,0,0,37,3
54,1,right_lane,adaptive,True,0.1,40,0,22.393957345971565,0.0,0.0,40.0,0.0,1.0,63.63033177194955,43.63033177194956,20.0,18.0,0.85,0,0,34,6
55,1,right_lane,adaptive,True,0.1,40,0,22.518957345971565,1.0,1.0,38.0,0.5,5.5,63.578399108860886,43.82839910886088,19.75,18.0,0.85,0,0,34,6
56,1,right_lane,adaptive,True,0.1,40,0,21.143957345945747,1.0,1.0,38.0,0.5,7.0,61.37839717644364,41.62839717644364,19.75,18.0,1.0,0,0,40,0
57,1,right_lane,adaptive,True,0.1,40,0,20.75249644062177,0.0,1.0,39.0,0.0,1.0,61.003060219217346,41.003060219217346,20.0,18.0,1.0,0,0,40,0
58,1,right_lane,adaptive,True,0.1,40,0,20.393957345971565,0.0,0.0,40.0,0.0,0.0,60.45320089613101,40.45320089613101,20.0,18.0,1.0,0,0,40,0
59,1,right_lane,adaptive,True,0.1,40,0,21.516504195735575,1.0,1.0,38.0,0.5,7.0,61.974472136107366,42.224472136107366,19.75,18.0,1.0,0,0,40,0
60,1,right_lane,adaptive,True,0.1,40,0,21.643957345971565,0.0,1.0,39.0,0.0,0.5,62.43280649231849,42.43280649231849,20.0,18.0,0.95,0,0,38,2
61,1,right_lane,adaptive,True,0.1,40,0,20.768957345971565,0.0,1.0,39.0,0.0,5.0,61.02939651471896,41.029396514718954,20.0,18.0,1.0,0,0,40,0
62,1,right_lane,adaptive,True,0.1,40,0,22.268957345971565,1.0,1.0,38.0,0.5,4.5,63.17839840434078,43.42839840434078,19.75,18.0,0.9,0,0,36,4
63,1,right_lane,adaptive,True,0.1,40,0,21.143957345971565,1.0,1.0,38.0,0.5,4.0,61.378397181179565,41.62839718117957,19.75,18.0,0.925,0,0,37,3
64,1,right_lane,adaptive,True,0.1,40,0,21.643957345971565,0.0,4.0,36.0,2.0,4.5,61.429639938752445,42.429639938752445,19.0,18.0,0.775,0,0,31,9
65,1,right_lane,adaptive,True,0.1,40,0,24.01641846286567,0.0,4.0,36.0,1.5,9.5,65.47464184666525,46.22464184666526,19.25,18.0,0.825,0,0,33,7
66,1,right_lane,adaptive,True,0.1,28,1,21.634224779959375,1.0,1.0,26.0,1.0,8.5,43.381925675684585,29.6319256756846,13.75,18.0,0.8928571428571429,0,0,25,3
67,1,right_lane,adaptive,True,0.1,40,0,21.143957345971565,0.0,1.0,39.0,0.0,3.0,60.87939766843067,41.12939766843068,19.75,18.0,1.0,0,0,40,0
