episode_id,policy_freq,profile,method,filter,value,episode_length,collision,mean_speed,total_cost,total_avoided_cost,total_expected_cost,total_reward,total_basic_reward,total_added_reward,mean_iterations_to_converge,convergence_rate,outcome_unchanged_count,outcome_naively_augmented_count,outcome_rcps_augmented_count,outcome_projection_count,lane_0_time,lane_1_time,lane_2_time,lane_3_time
21,1,right_lane,adaptive,True,0.05,40,0,21.268957344482867,26.66666666666668,0.33333333333333337,29.01687866449356,46.999999999999986,40.0,7.0000000000000036,18.0,1.0,0,0,40,0,1.0,39.0,0.0,0.0
22,1,right_lane,adaptive,True,0.05,40,0,20.518957345971565,39.33333333333333,0.33333333333333337,39.421370446681976,40.5,40.0,0.5,18.0,1.0,0,0,40,0,38.0,2.0,0.0,0.0
23,1,right_lane,adaptive,True,0.05,40,0,20.393957345971565,1.6666666666666665,7.9999999999999964,5.1707376427948475,58.666666666666664,40.0,18.666666666666664,18.0,1.0,0,0,40,0,0.0,0.0,6.0,34.0
24,1,right_lane,adaptive,True,0.05,40,0,21.018957344257608,1.6666666666666665,10.0,5.282906420528889,59.16666666666667,40.0,19.166666666666668,18.0,1.0,0,0,40,0,0.0,0.0,6.0,34.0
25,1,right_lane,adaptive,True,0.05,40,0,21.143957345971565,0.0,1.0,1.2925037441309541,60.0,40.0,20.0,18.0,1.0,0,0,20,20,0.0,0.0,0.0,40.0
26,1,right_lane,adaptive,True,0.05,40,0,20.893957345971565,3.3333333333333335,7.9999999999999964,7.083478100597858,58.33333333333333,40.0,18.333333333333332,18.0,1.0,0,0,40,0,0.0,0.0,10.0,30.0
27,1,right_lane,adaptive,True,0.05,40,0,21.018957345971565,0.0,0.6666666666666666,1.4574177802423947,60.0,40.0,20.0,18.0,1.0,0,0,20,20,0.0,0.0,1.0,39.0
28,1,right_lane,adaptive,True,0.05,40,0,23.0189515461236,0.3333333333333333,3.0,2.5043128419592904,59.83333333333333,40.0,19.833333333333332,18.0,1.0,0,0,34,6,0.0,0.0,1.0,39.0
29,1,right_lane,adaptive,True,0.05,40,0,21.768957345971565,3.9999999999999996,10.0,8.010155737400055,58.0,40.0,18.0,18.0,1.0,0,0,40,0,0.0,4.0,6.0,30.0
30,1,right_lane,adaptive,True,0.05,40,0,20.518957345971565,0.3333333333333333,9.666666666666666,4.2309854328632355,59.833333333333336,40.0,19.833333333333336,18.0,1.0,0,0,40,0,0.0,0.0,1.0,39.0
31,1,right_lane,adaptive,True,0.05,40,0,20.768957345971565,6.999999999999997,7.999999999999999,10.656996101140976,56.50000000000002,40.0,16.500000000000004,18.0,1.0,0,0,40,0,0.0,2.0,19.0,19.0
32,1,right_lane,adaptive,True,0.05,40,0,26.016504197227665,33.000000000000014,2.333333333333334,34.47499597072601,43.83333333333332,40.0,3.8333333333333317,18.0,1.0,0,0,40,0,20.0,20.0,0.0,0.0
33,1,right_lane,adaptive,True,0.05,40,0,21.89395649658225,3.0,4.999999999999999,6.238983456045389,58.16666666666668,40.0,18.166666666666664,18.0,1.0,0,0,40,0,0.0,1.0,9.0,30.0
34,1,right_lane,adaptive,True,0.05,40,0,21.018957345968165,0.0,0.3333333333333333,0.5810820608166978,60.0,40.0,20.0,18.0,1.0,0,0,3,37,0.0,0.0,1.0,39.0
35,1,right_lane,adaptive,True,0.05,40,0,20.643957345971565,0.0,11.333333333333336,3.8265368117718026,60.0,40.0,20.0,18.0,1.0,0,0,38,2,0.0,0.0,1.0,39.0
36,1,right_lane,adaptive,True,0.05,40,0,20.768957345971565,0.3333333333333333,5.999999999999998,3.1712522448506206,59.83333333333333,40.0,19.833333333333332,18.0,1.0,0,0,39,1,0.0,0.0,2.0,38.0
37,1,right_lane,adaptive,True,0.05,40,0,22.143957345971494,7.9999999999999964,8.66666666666667,11.686338022351265,56.00000000000001,40.0,16.0,18.0,1.0,0,0,40,0,1.0,4.0,16.0,19.0
38,1,right_lane,adaptive,True,0.05,40,0,20.768957345971565,0.3333333333333333,6.666666666666664,3.3857235503264747,59.83333333333333,40.0,19.833333333333332,18.0,1.0,0,0,37,3,0.0,0.0,1.0,39.0
39,1,right_lane,adaptive,True,0.05,40,0,21.643957345971565,0.6666666666666666,2.333333333333333,2.5799481704525533,59.666666666666664,40.0,19.666666666666664,18.0,1.0,0,0,27,13,0.0,0.0,3.0,37.0
40,1,right_lane,adaptive,True,0.05,40,0,22.26895734572049,5.333333333333333,6.666666666666664,7.898244003278251,57.333333333333336,40.0,17.333333333333336,18.0,1.0,0,0,34,6,2.0,4.0,2.0,32.0
41,1,right_lane,adaptive,True,0.05,40,0,20.393957345971565,0.0,11.66666666666667,3.265464596450329,60.0,40.0,20.0,18.0,1.0,0,0,40,0,0.0,0.0,0.0,40.0
42,1,right_lane,adaptive,True,0.05,40,0,21.268957345971565,2.333333333333333,2.6666666666666665,4.499204978113994,58.83333333333333,40.0,18.833333333333336,18.0,1.0,0,0,28,12,1.0,1.0,5.0,33.0
43,1,right_lane,adaptive,True,0.05,40,0,20.768957345971565,18.33333333333333,5.666666666666666,21.651389196515083,50.833333333333336,40.0,10.833333333333336,18.0,1.0,0,0,40,0,0.0,27.0,3.0,10.0
