experiment_id,policy_freq,profile,method,value,num_episodes,mean_episode_length,total_collisions,tet_1s,tet_2s,tet_3s,teud_1v,teud_2v,teud_3v,mean_speed,lane_0_preference,lane_1_preference,lane_2_preference,lane_3_preference,lane_4_preference,lane_5_preference,speed_violation_rate,tailgating_violation_rate,braking_violation_rate,lane_keeping_violation_rate,lane_change_tailgating_violation_rate,lane_change_braking_violation_rate,collision_violation_rate,lane_change_collision_violation_rate,safety_envelope_violation_rate,lane_change_safety_envelope_violation_rate,cost_rate,avoided_cost_rate,unsafe_slow_rate,unsafe_lane_rate,unsafe_faster_rate,unsafe_idle_rate,mean_delta_gap_unsafe,min_gap_p05,unsafe_ttc_slow_rate,unsafe_ttc_lane_rate,unsafe_ttc_faster_rate,unsafe_ttc_idle_rate,mean_delta_ttc_unsafe,min_ttc_p05,mean_recovery_time,mean_ttc_recovery_time
0,1,cautious,fixed,0.1,100,29.83,1,0.0,0.0006704659738518271,0.013074086490110626,0.0013409319477036541,0.015755950385517935,0.0918538384177003,24.169607450327426,0.143479718404291,0.11129735165940328,0.018102581293999328,0.40764331210191085,0.1287294669795508,0.1907475695608448,0.0,0.0,0.0,0.26181696278913846,0.00033523298692591353,0.0,0.0,0.0,nan,nan,0.26215219577606436,0.9161917532685216,0.7518248175182481,0.24817518248175183,0.0,0.0,-2.4037913210822413,8.857669844805088,0.5384615384615384,0.46153846153846156,0.0,0.0,-2.275180178091135,2.127784176822521,2.6862745098039214,1.0263157894736843
1,1,cautious,fixed,0.1,100,29.74,1,0.0003362474781439139,0.0010087424344317419,0.013113651647612643,0.0003362474781439139,0.01109616677874916,0.11264290517821117,24.082366203085382,0.1768661735036987,0.09784801613987895,0.019502353732347006,0.42333557498318763,0.16408876933423,0.1183591123066577,0.0,0.0,0.0,0.28177538668459984,0.0006724949562878278,0.0006724949562878278,0.0,0.0003362474781439139,nan,nan,0.28312037659717554,0.9327505043712172,0.7611940298507462,0.23880597014925373,0.0,0.0,-3.7354907602215204,8.804177082415249,0.4358974358974359,0.5641025641025641,0.0,0.0,-3.0122059414088898,1.632287504548282,2.6377952755905514,1.0833333333333333
2,1,cautious,fixed,0.1,100,29.69,2,0.0006736274840013472,0.0030313236780060626,0.017851128326035703,0.006736274840013472,0.03166049174806332,0.11586392724823173,23.920914389596298,0.11283260357022566,0.04546985517009094,0.018524755810037048,0.45907713034691816,0.14415628157628832,0.21993937352643989,0.0,0.0,0.0023576961940047153,0.16436510609632873,0.0020208824520040417,0.0003368137420006736,0.0003368137420006736,0.0003368137420006736,nan,nan,0.16908049848433815,0.9531828898619064,0.8023255813953488,0.19767441860465115,0.0,0.0,-3.294743098045044,5.692873606267847,0.5471698113207547,0.4528301886792453,0.0,0.0,-3.0123510127445607,1.5584656292900276,3.372549019607843,1.127659574468085
3,1,cautious,fixed,0.1,100,30.0,0,0.0006666666666666666,0.0013333333333333333,0.017333333333333333,0.0016666666666666668,0.028666666666666667,0.12866666666666668,23.943556388544557,0.20266666666666666,0.081,0.021666666666666667,0.412,0.122,0.16066666666666668,0.0,0.002,0.0003333333333333333,0.295,0.0013333333333333333,0.0003333333333333333,0.0,0.0003333333333333333,nan,nan,0.299,0.9276666666666666,0.805699481865285,0.19430051813471502,0.0,0.0,-2.014599091260734,5.978637135227288,0.5961538461538461,0.40384615384615385,0.0,0.0,-5.406660807383347,1.5234302605546122,3.3275862068965516,1.1063829787234043
4,1,cautious,fixed,0.1,100,30.0,0,0.0,0.0013333333333333333,0.012,0.0003333333333333333,0.009,0.11633333333333333,24.02607996934244,0.12766666666666668,0.093,0.02666666666666667,0.43666666666666665,0.14933333333333335,0.16666666666666666,0.0,0.0,0.0,0.23466666666666666,0.001,0.0,0.0,0.0,nan,nan,0.23566666666666666,0.8996666666666666,0.7879656160458453,0.21203438395415472,0.0,0.0,-4.150630741533976,9.548837237943204,0.2222222222222222,0.7777777777777778,0.0,0.0,-6.091390755344661,1.8174099294602528,2.66412213740458,1.125
