experiment_id,policy_freq,profile,method,value,num_episodes,mean_episode_length,total_collisions,mean_speed,lane_0_preference,lane_1_preference,lane_2_preference,lane_3_preference,speed_violation_rate,tailgating_violation_rate,braking_violation_rate,lane_keeping_violation_rate,lane_change_tailgating_violation_rate,lane_change_braking_violation_rate,collision_violation_rate,lane_change_collision_violation_rate,cost_rate,avoided_cost_rate,unsafe_slow_rate,unsafe_lane_rate,unsafe_faster_rate,unsafe_idle_rate,unsafe_ttc_slow_rate,unsafe_ttc_lane_rate,unsafe_ttc_faster_rate,unsafe_ttc_idle_rate
0,1,efficient,fixed,1.0,100,26.78,24,29.25815677218525,0.36855862584017923,0.4413741598207618,0.08177744585511576,0.10828976848394324,0.0,0.005601194921583271,0.020537714712471993,0.1773711725168036,0.011202389843166542,0.008588498879761016,0.011202389843166542,0.0074682598954443615,0.22330097087378642,0.13032113517550412,0.3037249283667622,0.6275071633237822,0.02865329512893983,0.04011461318051576,0.10419485791610285,0.577807848443843,0.12719891745602166,0.19079837618403248
1,1,efficient,fixed,1.0,100,26.69,24,29.260852378372363,0.38553765455226674,0.4484825777444736,0.07643312101910828,0.08954664668415137,0.0,0.004870738104158861,0.01985762457849382,0.1554889471712252,0.010865492693892843,0.010116148370176097,0.008617459722742601,0.008617459722742601,0.2011989509179468,0.13300861745972276,0.3119266055045872,0.6055045871559633,0.024464831804281346,0.0581039755351682,0.1111111111111111,0.5714285714285714,0.10101010101010101,0.21645021645021645
2,1,efficient,fixed,1.0,100,26.67,25,29.361912772985203,0.3787026621672291,0.44769403824521936,0.0922384701912261,0.08136482939632546,0.0,0.009373828271466067,0.020247469066366704,0.1597300337457818,0.00974878140232471,0.011998500187476566,0.009373828271466067,0.008248968878890138,0.21109861267341581,0.1289838770153731,0.2225705329153605,0.7084639498432602,0.03761755485893417,0.03134796238244514,0.09302325581395349,0.5964432284541724,0.1326949384404925,0.17783857729138167
3,1,efficient,fixed,1.0,100,27.12,26,29.266730278449067,0.3724188790560472,0.46017699115044247,0.09402654867256637,0.07337758112094395,0.0,0.004793510324483776,0.01696165191740413,0.15376106194690264,0.008849557522123894,0.01032448377581121,0.007374631268436578,0.009218289085545723,0.19469026548672566,0.13938053097345132,0.3126934984520124,0.6068111455108359,0.043343653250773995,0.03715170278637771,0.10126582278481013,0.5710267229254571,0.13783403656821377,0.189873417721519
4,1,efficient,fixed,1.0,100,25.73,30,29.1436060954382,0.35639331519626893,0.4819277108433735,0.08666925767586475,0.07500971628449281,0.0,0.008161678973960357,0.02487368830159347,0.14729887291099883,0.008938981733385153,0.00971628449280995,0.011270890011659542,0.006995724834823164,0.19898950641274776,0.14729887291099883,0.3251366120218579,0.5765027322404371,0.04918032786885246,0.04918032786885246,0.1111111111111111,0.6089466089466089,0.12121212121212122,0.15873015873015872
