experiment_id,policy_freq,profile,method,value,num_episodes,mean_episode_length,total_collisions,mean_speed,lane_0_preference,lane_1_preference,lane_2_preference,lane_3_preference,speed_violation_rate,tailgating_violation_rate,braking_violation_rate,lane_keeping_violation_rate,lane_change_tailgating_violation_rate,lane_change_braking_violation_rate,collision_violation_rate,lane_change_collision_violation_rate,cost_rate,avoided_cost_rate,unsafe_slow_rate,unsafe_lane_rate,unsafe_faster_rate,unsafe_idle_rate,unsafe_ttc_slow_rate,unsafe_ttc_lane_rate,unsafe_ttc_faster_rate,unsafe_ttc_idle_rate
0,1,efficient,fixed,0.1,100,28.41,10,27.63933129115966,0.4051390355508624,0.48539246744104186,0.03308694121788103,0.07638155579021472,0.0,0.0,0.005279831045406547,0.09257303766279479,0.0021119324181626186,0.00035198873636043646,0.008095740936290039,0.0,0.1003167898627244,0.32770151355156635,0.6818181818181818,0.24805194805194805,0.046753246753246755,0.023376623376623377,0.3157181571815718,0.43089430894308944,0.1043360433604336,0.14905149051490515
1,1,efficient,fixed,0.1,100,27.36,13,27.367899922283556,0.4247076023391813,0.4919590643274854,0.021929824561403508,0.06140350877192982,0.0,0.0,0.005847953216374269,0.06944444444444445,0.001827485380116959,0.0,0.007675438596491228,0.0,0.07711988304093567,0.35964912280701755,0.7286063569682152,0.19437652811735942,0.05256723716381418,0.02444987775061125,0.32829046898638425,0.4145234493192133,0.08774583963691376,0.16944024205748864
2,1,efficient,fixed,0.1,100,28.18,10,27.916601212326125,0.43399574166075233,0.48899929027679206,0.0262597586941093,0.050745209368346346,0.0,0.0,0.0035486160397444995,0.05926188786373315,0.0010645848119233499,0.0014194464158978,0.00674237047551455,0.0007097232079489,0.06529453513129879,0.30376153300212916,0.6278735632183908,0.27586206896551724,0.0617816091954023,0.034482758620689655,0.28368794326241137,0.44397163120567373,0.11063829787234042,0.16170212765957448
3,1,efficient,fixed,0.1,100,29.14,6,27.550731312705153,0.44063143445435826,0.48181194234728897,0.02608098833218943,0.05147563486616335,0.0,0.0,0.002059025394646534,0.06142759094028826,0.0006863417982155113,0.00034317089910775565,0.005147563486616335,0.00034317089910775565,0.06451612903225806,0.3435140700068634,0.669047619047619,0.225,0.06785714285714285,0.0380952380952381,0.28711484593837533,0.43137254901960786,0.12044817927170869,0.16106442577030813
4,1,efficient,fixed,0.1,100,27.45,12,27.638494729299683,0.4378870673952641,0.4918032786885246,0.022586520947176687,0.04772313296903461,0.0,0.0,0.005100182149362477,0.0546448087431694,0.0007285974499089253,0.00036429872495446266,0.008743169398907104,0.0,0.06083788706739526,0.32786885245901637,0.6675427069645203,0.2352168199737188,0.06176084099868594,0.035479632063074903,0.31140350877192985,0.4269005847953216,0.10087719298245613,0.1608187134502924
