episode_id,policy_freq,profile,method,filter,value,episode_length,collision,mean_speed,total_cost,total_avoided_cost,total_expected_cost,total_reward,total_basic_reward,total_added_reward,mean_iterations_to_converge,convergence_rate,outcome_unchanged_count,outcome_naively_augmented_count,outcome_rcps_augmented_count,outcome_projection_count,lane_0_time,lane_1_time,mean_courtesy_gap_violation,courtesy_active_steps
0,1,right_lane,adaptive,True,100.0,12,0,30.0,1.5,0.0,3.243807539343834,11.8454012308784,17.849999999999998,-6.0045987691216,nan,0.0,0,0,0,12,0.0,12.0,41.62979692060097,9
1,1,right_lane,adaptive,True,100.0,13,0,27.42333905172183,1.5,0.0,3.4426686465740204,15.383695829106985,18.010136306895355,-2.626440477788367,nan,0.0,0,0,0,13,0.0,13.0,18.530424306338432,6
2,1,right_lane,adaptive,True,100.0,12,0,28.813046846239462,1.5,0.0,3.1865905076265335,14.484723379557849,17.28026248619494,-2.795539106637092,nan,0.0,0,0,0,12,0.0,12.0,21.147254065357632,6
3,1,right_lane,adaptive,True,100.0,12,0,30.0,1.5,0.0,3.249257802963257,11.302312535012048,17.849999999999998,-6.547687464987952,nan,0.0,0,0,0,12,0.0,12.0,41.94318066216726,10
4,1,right_lane,adaptive,True,100.0,13,0,27.42333905172183,1.5,0.0,3.5188198387622833,15.106072584162595,18.010136306895355,-2.90406372273276,nan,0.0,0,0,0,13,0.0,13.0,22.429174179189506,6
5,1,right_lane,adaptive,True,100.0,13,0,27.80128461713882,1.5,0.0,3.515103980898857,15.17667116975436,18.206668000912188,-3.0299968311578285,nan,0.0,0,0,0,13,0.0,13.0,23.897368124702705,6
6,1,right_lane,adaptive,True,100.0,12,0,30.0,1.5,0.0,3.364896520972252,11.092626014258965,17.849999999999998,-6.757373985741034,nan,0.0,0,0,0,12,0.0,12.0,52.06838970269551,9
7,1,right_lane,adaptive,True,100.0,13,0,26.655102277460422,2.0,0.0,3.6094067044905387,14.772867921726128,17.61065318427942,-2.8377852625532927,nan,0.0,0,0,0,13,0.0,13.0,21.4200939974375,6
8,1,right_lane,adaptive,True,100.0,13,0,27.80128461713882,1.5,0.0,3.429457649588585,15.469264743099298,18.206668000912188,-2.737403257812888,nan,0.0,0,0,0,13,0.0,13.0,20.467870904596847,6
9,1,right_lane,adaptive,True,100.0,13,0,27.039601997206645,1.5,0.0,3.5536435544490814,15.056962666571048,17.810593038547456,-2.753630371976408,nan,0.0,0,0,0,13,0.0,13.0,20.191813260660982,6
10,1,right_lane,adaptive,True,100.0,13,0,28.135251062216373,1.5,0.0,3.4371043145656586,15.495679519104753,18.38033055235252,-2.8846510332477617,nan,0.0,0,0,0,13,0.0,13.0,22.201866551544338,6
11,1,right_lane,adaptive,True,100.0,12,0,29.638203017832648,1.5,0.0,3.155081018805504,11.30470213985447,17.676337448559668,-6.3716353087052005,nan,0.0,0,0,0,12,0.0,12.0,46.60113765569381,9
12,1,right_lane,adaptive,True,100.0,13,0,27.03872567291224,1.5,0.0,3.486292004585266,13.61225838777826,17.810137349914363,-4.197878962136104,nan,0.0,0,0,0,13,0.0,13.0,33.21342952323739,7
13,1,right_lane,adaptive,True,100.0,13,0,26.655102277460422,2.0,0.0,3.9475984424352646,13.917424938524881,17.61065318427942,-3.693228245754538,nan,0.0,0,0,0,13,0.0,13.0,34.78346619532825,6
14,1,right_lane,adaptive,True,100.0,12,0,29.638203017832648,1.5,0.0,3.1778005808591843,11.005631524240908,17.676337448559668,-6.670705924318762,nan,0.0,0,0,0,12,0.0,12.0,50.59678485273775,9
15,1,right_lane,adaptive,True,100.0,12,0,29.638203017832648,1.5,0.0,3.1982646882534027,11.21588529035396,17.676337448559668,-6.460452158205711,nan,0.0,0,0,0,12,0.0,12.0,47.686529128045585,9
16,1,right_lane,adaptive,True,100.0,13,0,26.655102277460422,2.0,0.0,3.9690210968255997,14.088831502853951,17.61065318427942,-3.5218216814254686,nan,0.0,0,0,0,13,0.0,13.0,31.987993360836118,6
17,1,right_lane,adaptive,True,100.0,14,0,25.822611223350602,2.0,0.0,3.590616133689764,14.194652257440065,18.46066228507634,-4.266010027636273,nan,0.0,0,0,0,14,0.0,14.0,34.20928075316654,7
18,1,right_lane,adaptive,True,100.0,13,0,27.039601997206645,1.5,0.0,3.589213475584984,14.42284671675912,17.810593038547456,-3.3877463217883355,nan,0.0,0,0,0,13,0.0,13.0,29.97999009397947,6
19,1,right_lane,adaptive,True,100.0,13,0,27.42420215023432,1.5,0.0,3.5160350650548935,14.789913431574485,18.01058511812185,-3.2206716865473606,nan,0.0,0,0,0,13,0.0,13.0,26.87186244139424,6
20,1,right_lane,adaptive,True,100.0,13,0,27.80128461713882,1.5,0.0,3.5964769572019577,15.051514084556484,18.206668000912188,-3.1551539163557045,nan,0.0,0,0,0,13,0.0,13.0,26.43357736097874,6
21,1,right_lane,adaptive,True,100.0,14,0,25.822611223350602,2.0,0.0,3.764110925141722,14.947938128012481,18.46066228507634,-3.5127241570638557,nan,0.0,0,0,0,14,0.0,14.0,31.685857606615645,6
22,1,right_lane,adaptive,True,100.0,14,0,25.822611223350602,2.0,0.0,3.8387537701055408,14.861548767827522,18.46066228507634,-3.5991135172488162,nan,0.0,0,0,0,14,0.0,14.0,33.13582339954973,6
23,1,right_lane,adaptive,True,100.0,12,0,29.638203017832648,1.5,2.0,3.441785618662834,11.202411267741962,17.676337448559668,-6.47392618081771,nan,0.0,0,0,0,12,0.0,12.0,48.24353965125832,9
24,1,right_lane,adaptive,True,100.0,13,0,28.135251062216373,1.5,0.0,3.502621367573738,15.332174838334728,18.38033055235252,-3.048155714017786,nan,0.0,0,0,0,13,0.0,13.0,24.38528398684261,6
25,1,right_lane,adaptive,True,100.0,12,0,29.638203017832648,1.5,2.0,3.441614404320717,11.079066758454406,17.676337448559668,-6.597270690105264,nan,0.0,0,0,0,12,0.0,12.0,49.82432086936459,9
26,1,right_lane,adaptive,True,100.0,13,0,27.80128461713882,1.5,0.0,3.5787112712860107,14.328619605288559,18.206668000912188,-3.878048395623629,nan,0.0,0,0,0,13,0.0,13.0,38.14356571702187,6
27,1,right_lane,adaptive,True,100.0,12,0,30.0,1.5,0.0,3.2835053205490112,12.50071966301427,17.849999999999998,-5.34928033698573,nan,0.0,0,0,0,12,0.0,12.0,34.35632885863524,9
28,1,right_lane,adaptive,True,100.0,13,0,28.135251062216373,1.5,0.0,3.467795267701149,14.216174752462168,18.38033055235252,-4.164155799890348,nan,0.0,0,0,0,13,0.0,13.0,43.983179655333394,6
29,1,right_lane,adaptive,True,100.0,12,0,29.22166165477424,1.5,0.0,3.1962804049253464,11.060596381998266,17.476397594291633,-6.41580121229337,nan,0.0,0,0,0,12,0.0,12.0,40.743786247503905,10
30,1,right_lane,adaptive,True,100.0,13,0,27.416671238329222,1.5,0.0,3.4784190207719803,15.099622971855382,18.0066690439312,-2.907046072075814,nan,0.0,0,0,0,13,0.0,13.0,22.643975635890655,6
31,1,right_lane,adaptive,True,100.0,12,0,29.638203017832648,1.5,0.0,3.248036816716194,10.885607591459795,17.676337448559668,-6.7907298570998735,nan,0.0,0,0,0,12,0.0,12.0,52.54289946966057,9
32,1,right_lane,adaptive,True,100.0,12,0,29.638203017832648,1.5,1.0,3.3528036773204803,11.967028242485743,17.676337448559668,-5.709309206073929,nan,0.0,0,0,0,12,0.0,12.0,37.924755573646244,9
33,1,right_lane,adaptive,True,100.0,12,0,30.0,1.5,0.0,3.3773498833179474,11.871121701742233,17.849999999999998,-5.978878298257765,nan,0.0,0,0,0,12,0.0,12.0,41.38438200424704,9
34,1,right_lane,adaptive,True,100.0,12,0,29.22876198863091,1.5,0.0,3.2658348381519318,10.847917600953135,17.479805754542834,-6.631888153589701,nan,0.0,0,0,0,12,0.0,12.0,50.28022022716147,9
35,1,right_lane,adaptive,True,100.0,13,0,27.03872567291224,1.5,0.0,3.5003939867019653,14.731751319120411,17.810137349914363,-3.0783860307939515,nan,0.0,0,0,0,13,0.0,13.0,24.752902693313317,6
36,1,right_lane,adaptive,True,100.0,12,0,30.0,1.5,2.0,3.337297275662422,12.435736777354382,17.849999999999998,-5.4142632226456175,nan,0.0,0,0,0,12,0.0,12.0,35.37365418069185,9
37,1,right_lane,adaptive,True,100.0,12,0,29.221552852052668,1.5,0.0,3.2269342690706253,10.621471854239017,17.476345368985278,-6.854873514746264,nan,0.0,0,0,0,12,0.0,12.0,45.22228651312231,10
38,1,right_lane,adaptive,True,100.0,13,0,26.655102277460422,2.0,0.0,3.9470989406108856,14.573542827607033,17.61065318427942,-3.0371103566723856,nan,0.0,0,0,0,13,0.0,13.0,24.456838145218764,6
39,1,right_lane,adaptive,True,100.0,12,0,30.0,1.5,0.0,3.30444473028183,12.738106728204297,17.849999999999998,-5.111893271795703,nan,0.0,0,0,0,12,0.0,12.0,32.247726232201586,9
40,1,right_lane,adaptive,True,100.0,12,0,30.0,1.5,2.0,3.3713297843933105,11.874953189530949,17.849999999999998,-5.975046810469051,nan,0.0,0,0,0,12,0.0,12.0,41.53434348376437,9
41,1,right_lane,adaptive,True,100.0,12,0,30.0,1.5,1.0,3.2697566598653793,11.9328211734832,17.849999999999998,-5.917178826516799,nan,0.0,0,0,0,12,0.0,12.0,40.61064541675008,9
42,1,right_lane,adaptive,True,100.0,12,0,30.0,1.5,0.0,3.2930261492729187,11.388465880122434,17.849999999999998,-6.461534119877567,nan,0.0,0,0,0,12,0.0,12.0,47.77485857567825,9
43,1,right_lane,adaptive,True,100.0,12,0,30.0,1.5,1.0,3.4420325458049774,11.328781415605746,17.849999999999998,-6.521218584394253,nan,0.0,0,0,0,12,0.0,12.0,48.51493085235736,9
44,1,right_lane,adaptive,True,100.0,12,0,30.0,1.5,0.0,3.345758020877838,11.256471937699235,17.849999999999998,-6.593528062300766,nan,0.0,0,0,0,12,0.0,12.0,49.568053779413226,9
45,1,right_lane,adaptive,True,100.0,13,0,27.03872567291224,1.5,0.0,3.497411459684372,14.119029833349623,17.810137349914363,-3.69110751656474,nan,0.0,0,0,0,13,0.0,13.0,27.03182664017902,7
46,1,right_lane,adaptive,True,100.0,12,0,30.0,1.5,1.0,3.3223643004894257,11.760958111817812,17.849999999999998,-6.0890418881821855,nan,0.0,0,0,0,12,0.0,12.0,42.70958513866706,9
47,1,right_lane,adaptive,True,100.0,13,0,27.039601997206645,1.5,0.0,3.5301247984170914,14.434954724811048,17.810593038547456,-3.3756383137364105,nan,0.0,0,0,0,13,0.0,13.0,29.120885700790826,6
48,1,right_lane,adaptive,True,100.0,12,0,30.0,1.5,0.0,3.299811527132988,11.46950599584421,17.849999999999998,-6.380494004155788,nan,0.0,0,0,0,12,0.0,12.0,46.34025288289669,9
49,1,right_lane,adaptive,True,100.0,12,0,28.813046846239462,1.5,0.0,3.398249313235283,13.460939371778387,17.28026248619494,-3.8193231144165556,nan,0.0,0,0,0,12,0.0,12.0,36.99388922073514,6
50,1,right_lane,adaptive,True,100.0,12,0,29.638203017832648,1.5,2.0,3.4275932759046555,11.054353989697063,17.676337448559668,-6.621983458862607,nan,0.0,0,0,0,12,0.0,12.0,50.02767456590278,9
51,1,right_lane,adaptive,True,100.0,13,0,26.655102277460422,2.0,0.0,3.728839386953041,15.068696125228678,17.61065318427942,-2.541957059050741,nan,0.0,0,0,0,13,0.0,13.0,17.435731014400485,6
52,1,right_lane,adaptive,True,100.0,12,0,29.638203017832648,1.5,1.0,3.3465770483016968,11.852962534311693,17.676337448559668,-5.823374914247977,nan,0.0,0,0,0,12,0.0,12.0,39.45116146956466,9
53,1,right_lane,adaptive,True,100.0,12,0,29.638203017832648,1.5,1.0,3.405367761850357,11.345604720911808,17.676337448559668,-6.330732727647864,nan,0.0,0,0,0,12,0.0,12.0,45.88747587203479,9
54,1,right_lane,adaptive,True,100.0,12,0,28.813046846239462,1.5,0.0,3.2651960253715515,14.159107526779497,17.28026248619494,-3.1211549594154437,nan,0.0,0,0,0,12,0.0,12.0,25.763043674834353,6
55,1,right_lane,adaptive,True,100.0,13,0,28.135251062216373,1.5,0.0,3.370265856385231,15.476144183060969,18.38033055235252,-2.9041863692915464,nan,0.0,0,0,0,13,0.0,13.0,22.84065987659503,6
56,1,right_lane,adaptive,True,100.0,12,0,28.805011488994264,1.5,2.0,3.305402159690857,9.62788941745243,17.276405514717244,-7.648516097264814,nan,0.0,0,0,0,12,0.0,12.0,54.475451637066406,10
57,1,right_lane,adaptive,True,100.0,12,0,30.0,1.5,0.0,3.305357426404953,12.556864210299066,17.849999999999998,-5.293135789700933,nan,0.0,0,0,0,12,0.0,12.0,34.4633181340962,9
58,1,right_lane,adaptive,True,100.0,13,0,26.655102277460422,2.0,0.0,3.856801927089691,14.822293216614577,17.61065318427942,-2.788359967664844,nan,0.0,0,0,0,13,0.0,13.0,21.240801557358925,6
59,1,right_lane,adaptive,True,100.0,12,0,28.813046846239462,1.5,0.0,3.304454416036606,14.304825804854826,17.28026248619494,-2.975436681340115,nan,0.0,0,0,0,12,0.0,12.0,23.225236071296518,6
60,1,right_lane,adaptive,True,100.0,12,0,30.0,1.5,0.0,3.3527396768331528,11.229090133128022,17.849999999999998,-6.620909866871978,nan,0.0,0,0,0,12,0.0,12.0,49.90878718200392,9
61,1,right_lane,adaptive,True,100.0,13,0,27.42333905172183,1.5,0.0,3.4921464025974274,14.553437426823562,18.010136306895355,-3.4566988800717886,nan,0.0,0,0,0,13,0.0,13.0,30.584958497900672,6
62,1,right_lane,adaptive,True,100.0,13,0,26.655102277460422,2.0,0.0,3.793850882888364,13.557150900721,17.61065318427942,-4.05350228355842,nan,0.0,0,0,0,13,0.0,13.0,41.659433738952536,6
63,1,right_lane,adaptive,True,100.0,12,0,29.638203017832648,1.5,1.0,3.293182924389839,11.925166922519434,17.676337448559668,-5.75117052604024,nan,0.0,0,0,0,12,0.0,12.0,38.63952679065111,9
64,1,right_lane,adaptive,True,100.0,13,0,26.655102277460422,2.0,0.0,3.9703794717788696,13.436406819048184,17.61065318427942,-4.1742463652312365,nan,0.0,0,0,0,13,0.0,13.0,33.33254188991995,7
65,1,right_lane,adaptive,True,100.0,12,0,29.638203017832648,1.5,0.0,3.230647549033165,11.155186894162231,17.676337448559668,-6.52115055439744,nan,0.0,0,0,0,12,0.0,12.0,48.73361688739457,9
66,1,right_lane,adaptive,True,100.0,14,0,25.465470228741687,2.0,0.0,3.7958840169012547,14.822078804141476,18.260663328095347,-3.4385845239538693,nan,0.0,0,0,0,14,0.0,14.0,30.396105693898843,6
67,1,right_lane,adaptive,True,100.0,13,0,27.42333905172183,1.5,0.0,3.4347423762083054,15.306369689590744,18.010136306895355,-2.7037666173046073,nan,0.0,0,0,0,13,0.0,13.0,19.92539034058841,6
68,1,right_lane,adaptive,True,100.0,13,0,27.42333905172183,1.5,0.0,3.477477088570595,14.473147517192727,18.010136306895355,-3.536988789702624,nan,0.0,0,0,0,13,0.0,13.0,32.249464435776005,6
69,1,right_lane,adaptive,True,100.0,13,0,27.42420215023432,1.5,0.0,3.4279780238866806,14.349323108421478,18.01058511812185,-3.6612620097003674,nan,0.0,0,0,0,13,0.0,13.0,34.149700718136415,6
70,1,right_lane,adaptive,True,100.0,12,0,29.638203017832648,1.5,1.0,3.342171773314476,11.147664285608954,17.676337448559668,-6.528673162950717,nan,0.0,0,0,0,12,0.0,12.0,48.42378724422853,9
71,1,right_lane,adaptive,True,100.0,13,0,28.135251062216373,1.5,0.0,3.4282844215631485,14.167328566530015,18.38033055235252,-4.213001985822501,nan,0.0,0,0,0,13,0.0,13.0,33.50553190479544,7
72,1,right_lane,adaptive,True,100.0,8,1,30.0,0.5,0.0,1.8374452590942383,7.869135817046982,11.95,-4.080864182953019,nan,0.0,0,0,0,8,0.0,8.0,42.46930704727841,6
73,1,right_lane,adaptive,True,100.0,12,0,29.638203017832648,1.5,0.0,3.161184310913086,11.041794406805494,17.676337448559668,-6.634543041754176,nan,0.0,0,0,0,12,0.0,12.0,50.22245188526244,9
74,1,right_lane,adaptive,True,100.0,12,0,30.0,1.5,0.0,3.2992780804634094,11.458572492266518,17.849999999999998,-6.391427507733482,nan,0.0,0,0,0,12,0.0,12.0,46.97527746683082,9
75,1,right_lane,adaptive,True,100.0,12,0,30.0,1.5,1.0,3.327395111322403,12.441677095479958,17.849999999999998,-5.408322904520042,nan,0.0,0,0,0,12,0.0,12.0,35.53262081804384,9
76,1,right_lane,adaptive,True,100.0,12,0,29.638203017832648,1.5,1.0,3.4219515323638916,11.178372491436289,17.676337448559668,-6.497964957123383,nan,0.0,0,0,0,12,0.0,12.0,48.00122620523187,9
77,1,right_lane,adaptive,True,100.0,13,0,26.655102277460422,2.0,0.0,4.031020060181618,13.732208049062343,17.61065318427942,-3.8784451352170763,nan,0.0,0,0,0,13,0.0,13.0,38.09563574653802,6
78,1,right_lane,adaptive,True,100.0,12,0,29.638203017832648,1.5,1.0,3.432007059454918,10.990188426398326,17.676337448559668,-6.6861490221613415,nan,0.0,0,0,0,12,0.0,12.0,50.76600094870017,9
79,1,right_lane,adaptive,True,100.0,13,0,27.80128461713882,1.5,0.0,3.4606215059757233,15.184702539742474,18.206668000912188,-3.0219654611697124,nan,0.0,0,0,0,13,0.0,13.0,23.88384315162126,6
80,1,right_lane,adaptive,True,100.0,12,0,29.638203017832648,1.5,2.0,3.5423431992530823,11.028388046501274,17.676337448559668,-6.647949402058396,nan,0.0,0,0,0,12,0.0,12.0,50.241735706191406,9
81,1,right_lane,adaptive,True,100.0,12,0,29.638203017832648,1.5,2.0,3.4347856491804123,11.629051792498135,17.676337448559668,-6.047285656061537,nan,0.0,0,0,0,12,0.0,12.0,42.56534933256101,9
82,1,right_lane,adaptive,True,100.0,12,0,30.0,1.5,0.0,3.349353566765785,11.473337261582335,17.849999999999998,-6.376662738417665,nan,0.0,0,0,0,12,0.0,12.0,46.790437265911095,9
83,1,right_lane,adaptive,True,100.0,14,0,25.822611223350602,2.0,0.0,4.149509593844414,15.19177655514266,18.46066228507634,-3.268885729933676,nan,0.0,0,0,0,14,0.0,14.0,27.530962778401303,6
84,1,right_lane,adaptive,True,100.0,12,0,29.221552852052668,1.5,0.0,3.208304688334465,10.86970282216298,17.476345368985278,-6.606642546822301,nan,0.0,0,0,0,12,0.0,12.0,43.12260806166609,10
85,1,right_lane,adaptive,True,100.0,12,0,30.0,1.5,0.0,3.2090704143047333,12.488122430762548,17.849999999999998,-5.361877569237451,nan,0.0,0,0,0,12,0.0,12.0,35.26822048344002,9
86,1,right_lane,adaptive,True,100.0,13,0,26.655102277460422,2.0,0.0,3.6370019722744473,14.634913160108239,17.61065318427942,-2.9757400241711807,nan,0.0,0,0,0,13,0.0,13.0,23.563999201709603,6
87,1,right_lane,adaptive,True,100.0,12,0,30.0,1.5,0.0,3.3610076755285263,11.595215337073752,17.849999999999998,-6.254784662926248,nan,0.0,0,0,0,12,0.0,12.0,44.70072033846087,9
88,1,right_lane,adaptive,True,100.0,13,0,28.135251062216373,1.5,0.0,3.4408126175403595,14.838052425441271,18.38033055235252,-3.5422781269112456,nan,0.0,0,0,0,13,0.0,13.0,32.03223813594733,6
89,1,right_lane,adaptive,True,100.0,13,0,27.42333905172183,1.5,0.0,3.5182038694620132,15.009155689672037,18.010136306895355,-3.000980617223316,nan,0.0,0,0,0,13,0.0,13.0,23.562412661358504,6
