experiment_id,policy_freq,profile,method,value,num_episodes,mean_episode_length,total_collisions,mean_speed,lane_0_preference,lane_1_preference,lane_2_preference,lane_3_preference,speed_violation_rate,tailgating_violation_rate,braking_violation_rate,lane_keeping_violation_rate,lane_change_tailgating_violation_rate,lane_change_braking_violation_rate,collision_violation_rate,lane_change_collision_violation_rate,cost_rate,avoided_cost_rate,unsafe_slow_rate,unsafe_lane_rate,unsafe_faster_rate,unsafe_idle_rate,unsafe_ttc_slow_rate,unsafe_ttc_lane_rate,unsafe_ttc_faster_rate,unsafe_ttc_idle_rate
0,1,efficient,adaptive,0.1,100,28.21,10,27.86125282436801,0.4041120170152428,0.46827366182204894,0.04360155973059199,0.08401276143211626,0.0,0.003544842254519674,0.005317263381779511,0.11130804679191776,0.004608294930875576,0.0014179369018078695,0.0077986529599432825,0.0010634526763559022,0.12619638426090038,0.28855015951790147,0.6288951841359773,0.3002832861189802,0.043909348441926344,0.026912181303116147,0.2960969044414536,0.44818304172274565,0.1063257065948856,0.14939434724091522
1,1,efficient,adaptive,0.1,100,27.36,13,27.742868645652447,0.4301900584795322,0.464546783625731,0.036915204678362575,0.06834795321637427,0.0,0.0010964912280701754,0.005847953216374269,0.09137426900584796,0.0029239766081871343,0.0003654970760233918,0.007309941520467836,0.0003654970760233918,0.10160818713450293,0.31469298245614036,0.6933895921237694,0.2348804500703235,0.04781997187060478,0.02390998593530239,0.30460624071322434,0.4398216939078752,0.0861812778603269,0.16939078751857356
2,1,efficient,adaptive,0.1,100,28.08,10,28.059968388510544,0.42663817663817666,0.48896011396011396,0.033831908831908834,0.05056980056980057,0.0,0.0035612535612535613,0.0035612535612535613,0.06766381766381767,0.002492877492877493,0.002492877492877493,0.004273504273504274,0.0014245014245014246,0.07977207977207977,0.2795584045584046,0.5668693009118541,0.32674772036474165,0.0668693009118541,0.03951367781155015,0.25501432664756446,0.4656160458452722,0.11461318051575932,0.16475644699140402
3,1,efficient,adaptive,0.1,100,28.74,9,27.789608655261077,0.4363256784968685,0.47425191370911624,0.032011134307585246,0.05741127348643006,0.0,0.0017397355601948504,0.003131524008350731,0.07306889352818371,0.0010438413361169101,0.0017397355601948504,0.005219206680584551,0.0006958942240779402,0.08072372999304106,0.32185107863604734,0.6412614980289093,0.2575558475689882,0.06307490144546649,0.03810775295663601,0.273972602739726,0.4438356164383562,0.12054794520547946,0.16164383561643836
4,1,efficient,adaptive,0.1,100,27.58,11,27.79253508684886,0.44017403915881076,0.4844089920232052,0.027918781725888325,0.047498187092095724,0.0,0.0007251631617113851,0.005076142131979695,0.06018854242204496,0.0018129079042784628,0.0007251631617113851,0.006526468455402465,0.0,0.06852791878172589,0.3147208121827411,0.6564673157162726,0.25034770514603616,0.0584144645340751,0.03477051460361613,0.28840579710144926,0.44782608695652176,0.09855072463768116,0.16521739130434782
