experiment_id,policy_freq,profile,method,value,num_episodes,mean_episode_length,total_collisions,mean_speed,lane_0_preference,lane_1_preference,lane_2_preference,lane_3_preference,speed_violation_rate,tailgating_violation_rate,braking_violation_rate,lane_keeping_violation_rate,lane_change_tailgating_violation_rate,lane_change_braking_violation_rate,collision_violation_rate,lane_change_collision_violation_rate,cost_rate,avoided_cost_rate,unsafe_slow_rate,unsafe_lane_rate,unsafe_faster_rate,unsafe_idle_rate,unsafe_ttc_slow_rate,unsafe_ttc_lane_rate,unsafe_ttc_faster_rate,unsafe_ttc_idle_rate
0,1,cautious,nop,nan,100,26.98,19,29.683377611541335,0.24388435878428466,0.3202372127501853,0.25055596738324687,0.18532246108228317,0.9818383988139362,0.011489992587101558,0.1134173461823573,0.56412157153447,0.031134173461823574,0.01630837657524092,0.00407709414381023,0.0007412898443291327,1.7183098591549295,0.016679021497405487,0.06896551724137931,0.8405172413793104,0.05603448275862069,0.034482758620689655,0.03380281690140845,0.6394366197183099,0.14225352112676057,0.18450704225352113
1,1,cautious,nop,nan,100,26.67,24,29.709084264895754,0.26959130108736407,0.3303337082864642,0.2230971128608924,0.17697787776527935,0.9846269216347957,0.01274840644919385,0.11136107986501688,0.5976752905886764,0.03412073490813648,0.02099737532808399,0.004874390701162355,0.0018747656542932134,1.7615298087739033,0.010123734533183352,0.06550218340611354,0.8296943231441049,0.05240174672489083,0.05240174672489083,0.030791788856304986,0.6436950146627566,0.13049853372434017,0.19501466275659823
2,1,cautious,nop,nan,100,27.04,19,29.670775780232255,0.2614644970414201,0.3113905325443787,0.2585059171597633,0.16863905325443787,0.9818786982248521,0.011094674556213017,0.11353550295857988,0.5758136094674556,0.029955621301775148,0.021079881656804734,0.0033284023668639054,0.0029585798816568047,1.7333579881656804,0.010724852071005916,0.11336032388663968,0.8097165991902834,0.05263157894736842,0.024291497975708502,0.029914529914529916,0.6595441595441596,0.13532763532763534,0.1752136752136752
3,1,cautious,nop,nan,100,26.36,26,29.700699488088844,0.23899848254931716,0.3254931714719272,0.2909711684370258,0.1445371775417299,0.9836874051593323,0.01669195751138088,0.10660091047040972,0.5686646433990895,0.032625189681335355,0.023520485584218515,0.004552352048558422,0.0034142640364188165,1.7317905918057663,0.019347496206373292,0.06666666666666667,0.8266666666666667,0.05333333333333334,0.05333333333333334,0.03139013452914798,0.6576980568011959,0.12257100149476831,0.18834080717488788
4,1,cautious,nop,nan,100,25.37,28,29.571075151610565,0.23334647221127316,0.31769806858494287,0.262908947575877,0.18604651162790697,0.9704375246353961,0.01891998423334647,0.1194324004729996,0.5522270398108001,0.032715806070161606,0.023255813953488372,0.006700827749310209,0.0035474970437524636,1.7169885691761924,0.014584154513204573,0.1383399209486166,0.7312252964426877,0.09486166007905138,0.03557312252964427,0.03939393939393939,0.6575757575757576,0.13333333333333333,0.1696969696969697
