experiment_id,policy_freq,profile,method,value,num_episodes,mean_episode_length,total_collisions,mean_speed,lane_0_preference,lane_1_preference,lane_2_preference,lane_3_preference,speed_violation_rate,tailgating_violation_rate,braking_violation_rate,lane_keeping_violation_rate,lane_change_tailgating_violation_rate,lane_change_braking_violation_rate,collision_violation_rate,lane_change_collision_violation_rate,cost_rate,avoided_cost_rate,unsafe_slow_rate,unsafe_lane_rate,unsafe_faster_rate,unsafe_idle_rate,unsafe_ttc_slow_rate,unsafe_ttc_lane_rate,unsafe_ttc_faster_rate,unsafe_ttc_idle_rate
0,1,cautious,adaptive,0.01,100,29.55,4,25.01172870556328,0.17055837563451776,0.11370558375634518,0.43181049069373945,0.28392554991539765,0.03451776649746193,0.009813874788494078,0.009813874788494078,0.27411167512690354,0.013197969543147208,0.0027072758037225042,0.0010152284263959391,0.0006768189509306261,0.34416243654822337,1.0697123519458545,0.2626728110599078,0.6451612903225806,0.018433179723502304,0.07373271889400922,0.14074074074074075,0.762962962962963,0.014814814814814815,0.08148148148148149
1,1,cautious,adaptive,0.01,100,29.2,5,24.991068827290754,0.1476027397260274,0.1095890410958904,0.4904109589041096,0.2523972602739726,0.02910958904109589,0.01643835616438356,0.010958904109589041,0.24486301369863014,0.010273972602739725,0.0010273972602739725,0.0013698630136986301,0.00034246575342465754,0.31267123287671234,1.0657534246575342,0.24017467248908297,0.6375545851528385,0.013100436681222707,0.1091703056768559,0.09322033898305085,0.7457627118644068,0.00847457627118644,0.15254237288135594
2,1,cautious,adaptive,0.01,100,29.5,4,24.94066454719285,0.13932203389830508,0.11491525423728814,0.4976271186440678,0.24813559322033898,0.025423728813559324,0.008135593220338983,0.006779661016949152,0.24779661016949153,0.010847457627118645,0.001016949152542373,0.0006779661016949153,0.0,0.3,1.0386440677966102,0.3113207547169811,0.6179245283018868,0.0047169811320754715,0.0660377358490566,0.1349206349206349,0.746031746031746,0.023809523809523808,0.09523809523809523
3,1,cautious,adaptive,0.01,100,29.75,3,24.957162858665786,0.16941176470588235,0.11529411764705882,0.4789915966386555,0.23630252100840335,0.033277310924369745,0.022521008403361343,0.010420168067226891,0.27663865546218486,0.011428571428571429,0.0016806722689075631,0.0006722689075630252,0.0003361344537815126,0.35596638655462187,1.0359663865546218,0.2595419847328244,0.648854961832061,0.015267175572519083,0.07633587786259542,0.10687022900763359,0.7480916030534351,0.022900763358778626,0.12213740458015267
4,1,cautious,adaptive,0.01,100,29.76,1,24.824627952521375,0.10685483870967742,0.11928763440860216,0.5080645161290323,0.2657930107526882,0.029233870967741934,0.014112903225806451,0.007056451612903226,0.21370967741935484,0.010416666666666666,0.0010080645161290322,0.0006720430107526882,0.0,0.27553763440860213,1.069220430107527,0.42160278745644597,0.5017421602787456,0.003484320557491289,0.07317073170731707,0.14049586776859505,0.768595041322314,0.01652892561983471,0.0743801652892562
