experiment_id,policy_freq,profile,method,value,num_episodes,mean_episode_length,total_collisions,tet_1s,tet_2s,tet_3s,teud_1v,teud_2v,teud_3v,mean_speed,lane_0_preference,lane_1_preference,lane_2_preference,lane_3_preference,speed_violation_rate,tailgating_violation_rate,braking_violation_rate,lane_keeping_violation_rate,lane_change_tailgating_violation_rate,lane_change_braking_violation_rate,collision_violation_rate,lane_change_collision_violation_rate,safety_envelope_violation_rate,lane_change_safety_envelope_violation_rate,cost_rate,avoided_cost_rate,unsafe_slow_rate,unsafe_lane_rate,unsafe_faster_rate,unsafe_idle_rate,mean_delta_gap_unsafe,min_gap_p05,unsafe_ttc_slow_rate,unsafe_ttc_lane_rate,unsafe_ttc_faster_rate,unsafe_ttc_idle_rate,mean_delta_ttc_unsafe,min_ttc_p05,mean_recovery_time,mean_ttc_recovery_time
0,1,efficient,adaptive,0.1,100,28.42,10,0.013370865587614356,0.13370865587614356,0.26460239268121044,0.05524278676988036,0.16783954961294864,0.25158339197748064,27.84184661404882,0.4014778325123153,0.4651653764954258,0.04468684025334271,0.08866995073891626,0.0,0.0028149190710767065,0.005277973258268825,0.11787473610133709,0.003518648838845883,0.001055594651653765,0.005629838142153413,0.0003518648838845883,nan,nan,0.13054187192118227,0.294862772695285,0.6251748251748251,0.3048951048951049,0.044755244755244755,0.025174825174825177,-3.8955899039111257,1.0835769355904064,0.2912234042553192,0.45345744680851063,0.10505319148936171,0.1502659574468085,nan,0.6497613989586914,3.4375,2.1671469740634004
1,1,efficient,adaptive,0.1,100,27.77,10,0.012243428159884768,0.12567518905293482,0.24234785740007203,0.06697875405113432,0.19337414476053294,0.27331652862801586,27.613385505429296,0.4220381706877926,0.4753330932661145,0.03492978033849478,0.06769895570759812,0.0,0.0010803024846957148,0.005401512423478574,0.08930500540151243,0.0021606049693914295,0.0007202016564638099,0.005761613251710479,0.0,nan,nan,0.09866762693554196,0.33129276197335256,0.7035573122529645,0.22661396574440051,0.048748353096179184,0.021080368906455864,-3.2939645444880727,0.9687668269218336,0.3060921248142645,0.4398216939078752,0.0861812778603269,0.16790490341753342,nan,0.6328349849291593,4.0588235294117645,2.250836120401338
2,1,efficient,adaptive,0.1,100,28.33,9,0.013060360042357924,0.11966113660430638,0.24426403106247793,0.049770561242499116,0.1482527356159548,0.2364984115778327,28.028396519744703,0.42004941757853864,0.48499823508648077,0.03600423579244617,0.05894811154253442,0.0,0.0035298270384751147,0.0035298270384751147,0.07836216025414755,0.002117896223085069,0.0017649135192375574,0.003882809742322626,0.0007059654076950229,nan,nan,0.08930462407342041,0.29050476526650193,0.5776119402985075,0.3194029850746269,0.06417910447761194,0.03880597014925373,-3.965860722323135,1.649607176034533,0.24855491329479767,0.4725433526011561,0.11416184971098266,0.16473988439306358,nan,0.794314657592967,3.268292682926829,2.0843373493975905
3,1,efficient,adaptive,0.1,100,28.94,8,0.012093987560469938,0.12577747062888736,0.2522460262612301,0.054941257774706286,0.1741534208707671,0.26641326883206634,27.77349250225086,0.437456807187284,0.4754664823773324,0.031098825155494125,0.05597788527988943,0.0,0.0017277125086385626,0.0027643400138217,0.07118175535590877,0.0010366275051831375,0.0017277125086385626,0.0038009675190048375,0.000691085003455425,nan,nan,0.07843814789219074,0.32446440912232205,0.6381322957198443,0.2594033722438392,0.06355382619974059,0.038910505836575876,-3.819704431046964,1.7046707998859518,0.2684931506849315,0.4465753424657534,0.12191780821917808,0.16301369863013698,nan,0.6325860235909234,3.7246376811594204,2.2188449848024314
4,1,efficient,adaptive,0.1,100,27.74,10,0.014780100937274693,0.13013698630136986,0.25234318673395817,0.055875991348233595,0.16906993511175197,0.25594808940158614,27.805651551030184,0.43727469358327326,0.4834174477289113,0.030641672674837778,0.04866618601297765,0.0,0.0007209805335255948,0.003965392934390771,0.06452775775054073,0.0014419610670511895,0.0010814708002883922,0.004325883201153569,0.0,nan,nan,0.07173756308579668,0.31182408074981977,0.647887323943662,0.2605633802816901,0.056338028169014086,0.035211267605633804,-4.549270446875394,1.2642521485367866,0.2814285714285714,0.45571428571428574,0.1,0.16285714285714287,nan,0.6794460642017024,3.55,2.2508038585209005
