experiment_id,policy_freq,profile,method,value,num_episodes,mean_episode_length,total_collisions,tet_1s,tet_2s,tet_3s,teud_1v,teud_2v,teud_3v,mean_speed,lane_0_preference,lane_1_preference,lane_2_preference,lane_3_preference,lane_4_preference,lane_5_preference,speed_violation_rate,tailgating_violation_rate,braking_violation_rate,lane_keeping_violation_rate,lane_change_tailgating_violation_rate,lane_change_braking_violation_rate,collision_violation_rate,lane_change_collision_violation_rate,safety_envelope_violation_rate,lane_change_safety_envelope_violation_rate,cost_rate,avoided_cost_rate
0,1,efficient,naive,nan,100,25.06,34,0.03312051077414206,0.12130885873902633,0.22106943335993615,0.02194732641660016,0.06464485235434957,0.13168395849960096,28.538811296630886,0.2897047086991221,0.2174780526735834,0.2613727055067837,0.08379888268156424,0.05466879489225858,0.09297685554668794,0.0,0.0039904229848363925,0.02114924181963288,0.21907422186751796,0.003591380686352753,0.013966480446927373,0.00558659217877095,0.0011971268954509178,nan,nan,0.26177174780526735,0.1189146049481245
1,1,efficient,naive,nan,100,26.67,21,0.02662167229096363,0.10348706411698538,0.19122609673790777,0.021747281589801274,0.06261717285339333,0.1308586426696663,27.998975998378135,0.2815898012748406,0.23809523809523808,0.2992125984251969,0.06786651668541432,0.04011998500187477,0.07311586051743532,0.0,0.0022497187851518562,0.013123359580052493,0.17360329958755155,0.003374578177727784,0.013498312710911136,0.0029996250468691415,0.0014998125234345708,nan,nan,0.20584926884139482,0.11548556430446194
2,1,efficient,naive,nan,100,26.58,23,0.023325808878856283,0.10985703536493605,0.21218961625282168,0.019563581640331076,0.06583897667419113,0.13769751693002258,28.19828072850381,0.28630549285176826,0.23739653875094055,0.2516930022573363,0.08389766741911212,0.05191873589164785,0.08878856282919488,0.0,0.007524454477050414,0.013544018058690745,0.20955605718585402,0.004514672686230248,0.013544018058690745,0.0015048908954100827,0.0026335590669676447,nan,nan,0.24868322046651617,0.12114371708051166
3,1,efficient,naive,nan,100,27.44,22,0.023688046647230322,0.11115160349854228,0.20481049562682216,0.02077259475218659,0.06377551020408163,0.1228134110787172,28.52015306098831,0.30466472303207,0.2066326530612245,0.26567055393586003,0.07434402332361516,0.05357142857142857,0.09511661807580175,0.0,0.00510204081632653,0.016034985422740525,0.2131924198250729,0.0047376093294460644,0.009839650145772596,0.002551020408163265,0.0018221574344023323,nan,nan,0.2489067055393586,0.1096938775510204
4,1,efficient,naive,nan,100,26.59,24,0.024069198946972545,0.10793531402783,0.20496427228281308,0.01805189921022941,0.06393380970289582,0.12786761940579164,28.04830236834462,0.2531026701767582,0.2452049642722828,0.2974802557352388,0.06844678450545318,0.05829259119969914,0.07747273411056788,0.0,0.003384731101918014,0.012786761940579166,0.19255359157578036,0.004889056036103798,0.011282437006393382,0.0022564874012786762,0.001504324934185784,nan,nan,0.22489657766077473,0.13990221887927792
