experiment_id,policy_freq,profile,method,value,num_episodes,mean_episode_length,total_collisions,mean_speed,lane_0_preference,lane_1_preference,lane_2_preference,lane_3_preference,lane_4_preference,lane_5_preference,speed_violation_rate,tailgating_violation_rate,braking_violation_rate,lane_keeping_violation_rate,lane_change_tailgating_violation_rate,lane_change_braking_violation_rate,collision_violation_rate,lane_change_collision_violation_rate,cost_rate,avoided_cost_rate,unsafe_slow_rate,unsafe_lane_rate,unsafe_faster_rate,unsafe_idle_rate,unsafe_ttc_slow_rate,unsafe_ttc_lane_rate,unsafe_ttc_faster_rate,unsafe_ttc_idle_rate
0,1,efficient,fixed,1.0,100,23.64,39,28.538804963298443,0.30287648054145516,0.21658206429780033,0.2656514382402707,0.07233502538071065,0.04991539763113367,0.09263959390862944,0.0,0.00676818950930626,0.01988155668358714,0.20050761421319796,0.011421319796954314,0.018189509306260575,0.01015228426395939,0.008883248730964468,0.25676818950930624,0.11505922165820642,0.3089700996677741,0.6179401993355482,0.046511627906976744,0.026578073089700997,0.11462450592885376,0.6719367588932806,0.08893280632411067,0.12450592885375494
1,1,efficient,fixed,1.0,100,25.36,31,28.001015470323324,0.28154574132492116,0.22988958990536276,0.3107255520504732,0.06703470031545741,0.04140378548895899,0.0694006309148265,0.0,0.0031545741324921135,0.014195583596214511,0.1695583596214511,0.006703470031545741,0.015772870662460567,0.006703470031545741,0.005126182965299685,0.20938485804416404,0.11632492113564669,0.37538461538461537,0.5446153846153846,0.046153846153846156,0.033846153846153845,0.13894736842105262,0.6589473684210526,0.05894736842105263,0.1431578947368421
2,1,efficient,fixed,1.0,100,25.1,32,28.165624514432036,0.28725099601593623,0.23306772908366533,0.2657370517928287,0.07928286852589642,0.04900398406374502,0.08565737051792828,0.0,0.005577689243027889,0.017131474103585658,0.19840637450199203,0.009561752988047808,0.017131474103585658,0.007171314741035857,0.007171314741035857,0.24780876494023904,0.10717131474103586,0.30538922155688625,0.5958083832335329,0.04491017964071856,0.05389221556886228,0.1157495256166983,0.6394686907020873,0.1062618595825427,0.13851992409867173
3,1,efficient,fixed,1.0,100,26.28,33,28.464100794203024,0.317351598173516,0.189117199391172,0.271689497716895,0.0700152207001522,0.05403348554033485,0.09779299847792998,0.0,0.00380517503805175,0.018645357686453576,0.2100456621004566,0.00989345509893455,0.015601217656012176,0.0091324200913242,0.009512937595129375,0.2579908675799087,0.1050228310502283,0.36962750716332377,0.5616045845272206,0.03724928366762178,0.03151862464183381,0.16074766355140188,0.6317757009345795,0.08224299065420561,0.1252336448598131
4,1,efficient,fixed,1.0,100,24.28,45,28.062599909316305,0.27347611202635913,0.24382207578253706,0.29365733113673803,0.05889621087314662,0.054365733113673806,0.0757825370675453,0.0,0.006177924217462933,0.021004942339373972,0.1758649093904448,0.012767710049423394,0.018945634266886325,0.01070840197693575,0.009884678747940691,0.23476112026359144,0.1289126853377265,0.3951367781155015,0.547112462006079,0.030395136778115502,0.02735562310030395,0.16071428571428573,0.6111111111111112,0.0992063492063492,0.12896825396825398
