experiment_id,policy_freq,profile,method,value,num_episodes,mean_episode_length,total_collisions,tet_1s,tet_2s,tet_3s,teud_1v,teud_2v,teud_3v,mean_speed,lane_0_preference,lane_1_preference,lane_2_preference,lane_3_preference,speed_violation_rate,tailgating_violation_rate,braking_violation_rate,lane_keeping_violation_rate,lane_change_tailgating_violation_rate,lane_change_braking_violation_rate,collision_violation_rate,lane_change_collision_violation_rate,safety_envelope_violation_rate,lane_change_safety_envelope_violation_rate,cost_rate,avoided_cost_rate
0,1,efficient,nop,nan,100,26.98,19,0.026686434395848776,0.12120088954781319,0.2631578947368421,0.011489992587101558,0.03595255744996294,0.08598962194217939,29.683377611541335,0.24388435878428466,0.3202372127501853,0.25055596738324687,0.18532246108228317,0.0,0.003335804299481097,0.022979985174203115,0.43587842846553004,0.0014825796886582653,0.005189028910303929,0.00407709414381023,0.0007412898443291327,nan,nan,0.46886582653817643,0.019644180874722018
1,1,efficient,nop,nan,100,26.67,24,0.0281214848143982,0.1177352830896138,0.2557180352455943,0.008998875140607425,0.03524559430071241,0.08586426696662917,29.709084264895754,0.26959130108736407,0.3303337082864642,0.2230971128608924,0.17697787776527935,0.0,0.003374578177727784,0.02924634420697413,0.4023247094113236,0.0022497187851518562,0.0074990626171728535,0.004874390701162355,0.0018747656542932134,nan,nan,0.4446944131983502,0.016122984626921636
2,1,efficient,nop,nan,100,27.04,19,0.031804733727810654,0.12167159763313609,0.25961538461538464,0.010355029585798817,0.04105029585798817,0.09134615384615384,29.670775780232255,0.2614644970414201,0.3113905325443787,0.2585059171597633,0.16863905325443787,0.0,0.0018491124260355029,0.027736686390532544,0.42418639053254437,0.0025887573964497044,0.009615384615384616,0.0033284023668639054,0.0029585798816568047,nan,nan,0.46597633136094674,0.01775147928994083
3,1,efficient,nop,nan,100,26.36,26,0.028452200303490136,0.11874051593323216,0.253793626707132,0.011001517450682853,0.041350531107739,0.08535660091047041,29.700699488088844,0.23899848254931716,0.3254931714719272,0.2909711684370258,0.1445371775417299,0.0,0.005311077389984826,0.028452200303490136,0.4313353566009105,0.0034142640364188165,0.009863429438543247,0.004552352048558422,0.0034142640364188165,nan,nan,0.4783763277693475,0.0204855842185129
4,1,efficient,nop,nan,100,25.37,28,0.03665746945210879,0.12731572723689397,0.260149783208514,0.015766653527788728,0.0476941269215609,0.09972408356326369,29.571075151610565,0.23334647221127316,0.31769806858494287,0.262908947575877,0.18604651162790697,0.0,0.005912495072920773,0.03626330311391407,0.4477729601891998,0.003941663381947182,0.008671659440283799,0.006700827749310209,0.0035474970437524636,nan,nan,0.5025620811982656,0.018525817895151755
