experiment_id,policy_freq,profile,method,value,num_episodes,mean_episode_length,total_collisions,mean_speed,lane_0_preference,lane_1_preference,lane_2_preference,lane_3_preference,speed_violation_rate,tailgating_violation_rate,braking_violation_rate,lane_keeping_violation_rate,lane_change_tailgating_violation_rate,lane_change_braking_violation_rate,collision_violation_rate,lane_change_collision_violation_rate,cost_rate,avoided_cost_rate,unsafe_slow_rate,unsafe_lane_rate,unsafe_faster_rate,unsafe_idle_rate,unsafe_ttc_slow_rate,unsafe_ttc_lane_rate,unsafe_ttc_faster_rate,unsafe_ttc_idle_rate
0,1,cautious,naive,nan,100,28.29,11,26.467870672573333,0.14492753623188406,0.1357370095440085,0.4337221633085896,0.28561329091551785,0.3343937787203959,0.010604453870625663,0.03711558854718982,0.271474019088017,0.019088016967126194,0.00671615411806292,0.003888299752562743,0.0007069635913750442,0.6793920113114175,0.735949098621421,0.2222222222222222,0.6805555555555556,0.032407407407407406,0.06481481481481481,0.11764705882352941,0.6535947712418301,0.0915032679738562,0.13725490196078433
1,1,cautious,naive,nan,100,28.51,10,26.344779475551135,0.13118204138898631,0.13714486145212207,0.45843563661873027,0.27323746054016135,0.3184847421957208,0.01929147667485093,0.03226937916520519,0.2578042792002806,0.01683619782532445,0.006664328305857594,0.003156787092248334,0.0007015082427218519,0.6513504033672396,0.7621887057172921,0.224,0.664,0.032,0.08,0.07446808510638298,0.7092198581560284,0.07092198581560284,0.1453900709219858
2,1,cautious,naive,nan,100,29.48,5,26.278351528144604,0.11736770691994572,0.12957937584803256,0.4755766621438263,0.2774762550881954,0.30257801899592945,0.011533242876526458,0.032225237449118045,0.23744911804613297,0.016960651289009497,0.004070556309362279,0.0010176390773405698,0.0010176390773405698,0.6048168249660787,0.7527137042062415,0.25523012552301255,0.6736401673640168,0.016736401673640166,0.05439330543933055,0.0781758957654723,0.6970684039087948,0.09771986970684039,0.1270358306188925
3,1,cautious,naive,nan,100,28.72,11,26.41226229403206,0.13196378830083566,0.13857938718662952,0.46901114206128136,0.2604456824512535,0.334958217270195,0.020891364902506964,0.03934540389972145,0.26323119777158777,0.017409470752089137,0.007311977715877437,0.003481894150417827,0.0017409470752089136,0.6831476323119777,0.7231894150417827,0.26545454545454544,0.6327272727272727,0.03272727272727273,0.06909090909090909,0.0729483282674772,0.6930091185410334,0.08814589665653495,0.1458966565349544
4,1,cautious,naive,nan,100,29.64,4,26.101245165901318,0.10796221322537113,0.13765182186234817,0.4875168690958165,0.26686909581646423,0.2793522267206478,0.01349527665317139,0.029014844804318488,0.23582995951417005,0.016194331983805668,0.002699055330634278,0.0023616734143049934,0.0,0.5765856950067476,0.8006072874493927,0.34296028880866425,0.6028880866425993,0.01444043321299639,0.039711191335740074,0.09059233449477352,0.7142857142857143,0.059233449477351915,0.13588850174216027
