experiment_id,policy_freq,profile,method,value,num_episodes,mean_episode_length,total_collisions,mean_speed,lane_0_preference,lane_1_preference,lane_2_preference,lane_3_preference,speed_violation_rate,tailgating_violation_rate,braking_violation_rate,lane_keeping_violation_rate,lane_change_tailgating_violation_rate,lane_change_braking_violation_rate,collision_violation_rate,lane_change_collision_violation_rate,cost_rate,avoided_cost_rate,unsafe_slow_rate,unsafe_lane_rate,unsafe_faster_rate,unsafe_idle_rate,unsafe_ttc_slow_rate,unsafe_ttc_lane_rate,unsafe_ttc_faster_rate,unsafe_ttc_idle_rate
0,1,efficient,fixed,1.0,100,27.16,18,28.94403761801032,0.3873343151693667,0.43078055964653905,0.07731958762886598,0.10456553755522828,0.0,0.005154639175257732,0.016568483063328424,0.16826215022091312,0.005154639175257732,0.0033136966126656848,0.008468335787923416,0.0022091310751104565,0.19845360824742267,0.18667157584683358,0.44680851063829785,0.49645390070921985,0.03309692671394799,0.02364066193853428,0.1584553928095872,0.5392809587217043,0.12916111850865514,0.17310252996005326
1,1,efficient,fixed,1.0,100,26.76,22,29.04346793931393,0.3976083707025411,0.4346038863976084,0.07698056801195814,0.09080717488789238,0.0,0.004857997010463378,0.017563527653213753,0.15695067264573992,0.004857997010463378,0.0037369207772795215,0.006726457399103139,0.0018684603886397607,0.18796711509715994,0.16666666666666666,0.3968668407310705,0.5248041775456919,0.031331592689295036,0.04699738903394256,0.14553314121037464,0.553314121037464,0.10518731988472622,0.19596541786743515
2,1,efficient,fixed,1.0,100,26.86,20,28.84403997916923,0.3924050632911392,0.45011169024571857,0.08265078183172003,0.0748324646314222,0.0,0.006329113924050633,0.01340282948622487,0.14259121370067016,0.004467609828741623,0.0052122114668652275,0.006701414743112435,0.0018615040953090098,0.1720029784065525,0.17721518987341772,0.4321266968325792,0.497737556561086,0.04751131221719457,0.02262443438914027,0.1684931506849315,0.5438356164383562,0.12876712328767123,0.1589041095890411
3,1,efficient,fixed,1.0,100,27.87,19,28.9656443452883,0.3860782203085755,0.4560459275206315,0.08898457122353785,0.0688912809472551,0.0,0.006099748833871547,0.012917115177610334,0.14352350197344815,0.0032292787944025836,0.0046645138141370645,0.004305705059203444,0.0028704700394689632,0.1704341585934697,0.19268030139935413,0.4119047619047619,0.48333333333333334,0.05238095238095238,0.05238095238095238,0.14577656675749318,0.5422343324250681,0.1335149863760218,0.1784741144414169
4,1,efficient,fixed,1.0,100,26.06,23,28.825693965944353,0.36185725249424405,0.4896392939370683,0.07828089025326171,0.07022256331542594,0.0,0.006907137375287797,0.018035303146584806,0.13468917881811204,0.0049884881043745204,0.005372217958557176,0.006907137375287797,0.002686108979278588,0.16999232540291634,0.1772831926323868,0.43792325056433407,0.46952595936794583,0.05191873589164785,0.040632054176072234,0.14862914862914864,0.5757575757575758,0.11544011544011544,0.16017316017316016
