episode_id,policy_freq,profile,method,filter,value,episode_length,collision,mean_speed,total_cost,total_avoided_cost,total_expected_cost,total_reward,total_basic_reward,total_added_reward,mean_iterations_to_converge,convergence_rate,outcome_unchanged_count,outcome_naively_augmented_count,outcome_rcps_augmented_count,outcome_projection_count,lane_0_time,lane_1_time,lane_2_time,lane_3_time
28,1,right_lane,fixed,True,1.0,40,0,22.893957332726693,0.0,4.333333333333333,2.3747184854273655,59.66666666666667,40.0,19.666666666666664,nan,0.0,0,0,40,0,0.0,0.0,0.0,40.0
29,1,right_lane,fixed,True,1.0,40,0,21.87532874938229,10.333333333333332,7.9999999999999964,13.458240501582623,54.833333333333336,40.0,14.833333333333332,nan,0.0,0,0,40,0,0.0,14.0,5.0,21.0
30,1,right_lane,fixed,True,1.0,40,0,22.643957345719976,0.0,1.9999999999999998,1.3876512076776635,60.0,40.0,20.0,nan,0.0,0,0,40,0,0.0,0.0,0.0,40.0
31,1,right_lane,fixed,True,1.0,40,0,20.393957345971565,6.666666666666667,9.333333333333332,9.541523784399033,56.66666666666667,40.0,16.666666666666664,nan,0.0,0,0,40,0,5.0,3.0,1.0,31.0
32,1,right_lane,fixed,True,1.0,40,0,24.01895089420706,33.33333333333333,0.33333333333333337,34.17513394355774,43.666666666666664,40.0,3.666666666666666,nan,0.0,0,0,40,0,25.0,11.0,4.0,0.0
33,1,right_lane,fixed,True,1.0,40,0,21.141461656101036,0.3333333333333333,4.666666666666666,3.8486372642219067,59.5,40.0,19.5,nan,0.0,0,0,40,0,0.0,1.0,1.0,38.0
34,1,right_lane,fixed,True,1.0,40,0,21.018957345968165,0.3333333333333333,0.3333333333333333,0.8095048449467868,59.83333333333333,40.0,19.833333333333332,nan,0.0,0,0,40,0,0.0,0.0,2.0,38.0
35,1,right_lane,fixed,True,1.0,40,0,22.393957345971565,9.333333333333332,6.333333333333331,11.545613484457135,55.333333333333336,40.0,15.333333333333332,nan,0.0,0,0,40,0,7.0,3.0,2.0,28.0
36,1,right_lane,fixed,True,1.0,40,0,20.643957345971565,0.6666666666666666,6.333333333333331,3.079834346426651,59.666666666666664,40.0,19.666666666666664,nan,0.0,0,0,40,0,0.0,0.0,3.0,37.0
37,1,right_lane,fixed,True,1.0,40,0,21.893957345971565,11.66666666666667,6.666666666666665,14.98412349820137,54.16666666666668,40.0,14.166666666666664,nan,0.0,0,0,40,0,2.0,11.0,10.0,17.0
38,1,right_lane,fixed,True,1.0,40,0,20.768957345971565,0.3333333333333333,6.666666666666664,3.3857235503264747,59.83333333333333,40.0,19.833333333333332,nan,0.0,0,0,40,0,0.0,0.0,1.0,39.0
39,1,right_lane,fixed,True,1.0,40,0,21.643957345971565,1.0,1.9999999999999998,3.009688250393083,59.5,40.0,19.5,nan,0.0,0,0,40,0,0.0,1.0,2.0,37.0
40,1,right_lane,fixed,True,1.0,40,0,23.01895734574631,1.6666666666666665,5.999999999999998,4.700002704696544,59.16666666666668,40.0,19.166666666666668,nan,0.0,0,0,40,0,0.0,0.0,5.0,35.0
41,1,right_lane,fixed,True,1.0,40,0,20.393957345971565,0.0,11.66666666666667,3.265464596450329,60.0,40.0,20.0,nan,0.0,0,0,40,0,0.0,0.0,0.0,40.0
42,1,right_lane,fixed,True,1.0,40,0,21.143666938422996,1.6666666666666665,4.666666666666666,4.700940436683595,59.166666666666664,40.0,19.166666666666664,nan,0.0,0,0,40,0,1.0,1.0,3.0,35.0
43,1,right_lane,fixed,True,1.0,40,0,21.143957345971565,3.0,3.3333333333333335,5.514712070464157,58.50000000000001,40.0,18.5,nan,0.0,0,0,40,0,1.0,2.0,4.0,33.0
44,1,right_lane,fixed,True,1.0,40,0,23.268957345971565,17.666666666666664,6.666666666666664,19.546776346862316,51.16666666666667,40.0,11.166666666666666,nan,0.0,0,0,40,0,15.0,4.0,2.0,19.0
45,1,right_lane,fixed,True,1.0,40,0,20.76675206364961,0.3333333333333333,12.333333333333337,5.314728297293186,59.83333333333333,40.0,19.833333333333332,nan,0.0,0,0,40,0,0.0,1.0,1.0,38.0
46,1,right_lane,fixed,True,1.0,40,0,21.018957345971565,1.0,0.0,2.571076452237321,59.5,40.0,19.5,nan,0.0,0,0,40,0,0.0,2.0,1.0,37.0
47,1,right_lane,fixed,True,1.0,40,0,22.893957345971565,1.6666666666666665,0.0,3.302744579437217,59.16666666666667,40.0,19.166666666666668,nan,0.0,0,0,40,0,1.0,1.0,3.0,35.0
48,1,right_lane,fixed,True,1.0,40,0,23.643956692370224,16.33333333333333,1.3333333333333335,17.669161684054416,52.33333333333332,40.0,12.333333333333329,nan,0.0,0,0,40,0,7.0,12.0,4.0,17.0
49,1,right_lane,fixed,True,1.0,40,0,23.143957345971565,38.66666666666667,0.0,38.21507486701012,40.666666666666664,40.0,0.6666666666666666,nan,0.0,0,0,40,0,35.0,4.0,1.0,0.0
50,1,right_lane,fixed,True,1.0,40,0,20.393957345971565,0.0,4.0,1.3304629232006846,59.5,40.0,19.5,nan,0.0,0,0,40,0,0.0,0.0,0.0,40.0
51,1,right_lane,fixed,True,1.0,40,0,20.268957345971565,0.0,13.33333333333334,3.7081498727202415,60.0,40.0,20.0,nan,0.0,0,0,40,0,0.0,0.0,0.0,40.0
52,1,right_lane,fixed,True,1.0,40,0,24.14391974358436,29.666666666666686,1.3333333333333335,31.3859983086586,45.49999999999998,40.0,5.500000000000002,nan,0.0,0,0,40,0,15.0,20.0,5.0,0.0
