experiment_id,policy_freq,profile,method,value,num_episodes,mean_episode_length,total_collisions,mean_speed,lane_0_preference,lane_1_preference,speed_violation_rate,tailgating_violation_rate,braking_violation_rate,lane_keeping_violation_rate,lane_change_tailgating_violation_rate,lane_change_braking_violation_rate,collision_violation_rate,lane_change_collision_violation_rate,cost_rate,avoided_cost_rate,unsafe_slow_rate,unsafe_lane_rate,unsafe_faster_rate,unsafe_idle_rate,unsafe_ttc_slow_rate,unsafe_ttc_lane_rate,unsafe_ttc_faster_rate,unsafe_ttc_idle_rate
0,1,efficient,adaptive,0.01,100,10.88,88,28.38042683707005,0.6479779411764706,0.35202205882352944,0.0,0.017463235294117647,0.10018382352941177,0.359375,0.051470588235294115,0.07536764705882353,0.016544117647058824,0.050551470588235295,0.6038602941176471,0.5496323529411765,0.16,0.7666666666666667,0.04,0.03333333333333333,0.12408759124087591,0.635036496350365,0.11131386861313869,0.12956204379562045
1,1,efficient,adaptive,0.01,100,12.14,90,28.273252644178495,0.6672158154859967,0.33278418451400327,0.0,0.042833607907743,0.10955518945634267,0.34596375617792424,0.04365733113673806,0.06177924217462932,0.019769357495881382,0.04118616144975288,0.6037891268533773,0.5082372322899505,0.1440677966101695,0.7288135593220338,0.05084745762711865,0.07627118644067797,0.10128617363344052,0.6221864951768489,0.11736334405144695,0.15916398713826366
2,1,efficient,adaptive,0.01,100,10.7,91,28.168909348732146,0.6747663551401869,0.3252336448598131,0.0,0.03925233644859813,0.10654205607476636,0.3317757009345794,0.04766355140186916,0.07757009345794393,0.016822429906542057,0.05046728971962617,0.602803738317757,0.5373831775700935,0.1787878787878788,0.7242424242424242,0.03333333333333333,0.06363636363636363,0.1171003717472119,0.6598513011152416,0.09851301115241635,0.12453531598513011
3,1,efficient,adaptive,0.01,100,11.46,90,28.255571062020035,0.643979057591623,0.35602094240837695,0.0,0.03315881326352531,0.09947643979057591,0.36649214659685864,0.053228621291448515,0.08202443280977312,0.009598603839441536,0.05759162303664921,0.6343804537521816,0.5270506108202443,0.12084592145015106,0.7522658610271903,0.045317220543806644,0.08157099697885196,0.11130742049469965,0.6413427561837456,0.09717314487632508,0.1501766784452297
4,1,efficient,adaptive,0.01,100,11.24,93,27.980155460122653,0.645017793594306,0.35498220640569395,0.0,0.05516014234875445,0.11565836298932385,0.36565836298932386,0.05338078291814947,0.06850533807829182,0.02224199288256228,0.04715302491103203,0.6583629893238434,0.5427046263345195,0.15041782729805014,0.7298050139275766,0.04456824512534819,0.07520891364902507,0.12234910277324633,0.6427406199021207,0.10603588907014681,0.12887438825448613
