experiment_id,policy_freq,profile,method,value,num_episodes,mean_episode_length,total_collisions,mean_speed,lane_0_preference,lane_1_preference,speed_violation_rate,tailgating_violation_rate,braking_violation_rate,lane_keeping_violation_rate,lane_change_tailgating_violation_rate,lane_change_braking_violation_rate,collision_violation_rate,lane_change_collision_violation_rate,cost_rate,avoided_cost_rate,unsafe_slow_rate,unsafe_lane_rate,unsafe_faster_rate,unsafe_idle_rate,unsafe_ttc_slow_rate,unsafe_ttc_lane_rate,unsafe_ttc_faster_rate,unsafe_ttc_idle_rate
0,1,efficient,fixed,0.1,100,21.28,48,24.28221010123711,0.7763157894736842,0.2236842105263158,0.0,0.0014097744360902255,0.03242481203007519,0.20864661654135339,0.01644736842105263,0.009398496240601503,0.019736842105263157,0.006109022556390977,0.2683270676691729,1.0836466165413534,0.7737909516380655,0.1856474258970359,0.031201248049921998,0.0093603744149766,0.5244922341696535,0.32735961768219835,0.07526881720430108,0.07287933094384708
1,1,efficient,fixed,0.1,100,22.16,39,24.45495750135156,0.8145306859205776,0.18546931407942238,0.0,0.004061371841155234,0.019855595667870037,0.17418772563176896,0.012184115523465704,0.010379061371841155,0.01263537906137184,0.00631768953068592,0.22066787003610108,1.0288808664259927,0.7707055214723927,0.17254601226993865,0.04371165644171779,0.01303680981595092,0.5018094089264173,0.32689987937273823,0.07720144752714113,0.09408926417370325
2,1,efficient,fixed,0.1,100,21.05,47,24.332927982775143,0.7885985748218527,0.21140142517814728,0.0,0.003800475059382423,0.032304038004750596,0.19192399049881234,0.014726840855106888,0.010926365795724466,0.02280285035629454,0.007125890736342043,0.2536817102137767,1.0622327790973871,0.7594637223974764,0.19400630914826497,0.03627760252365931,0.01025236593059937,0.52625,0.33625,0.06375,0.07375
3,1,efficient,fixed,0.1,100,22.18,45,24.16949874297625,0.7894499549143372,0.21055004508566275,0.0,0.004959422903516681,0.029756537421100092,0.19477006311992787,0.014427412082957619,0.01127141568981064,0.021190261496844005,0.008566275924256087,0.2551848512173129,1.1257889990982868,0.7822878228782287,0.17343173431734318,0.03099630996309963,0.013284132841328414,0.5345029239766081,0.30994152046783624,0.07368421052631578,0.08187134502923976
4,1,efficient,fixed,0.1,100,22.51,44,24.633262673335015,0.7276765881830297,0.27232341181697023,0.0,0.00444247001332741,0.03065304309195913,0.26166148378498444,0.01288316303864949,0.008440693025322079,0.02221235006663705,0.005775211017325633,0.31808085295424254,1.0399822301199466,0.725705329153605,0.22962382445141066,0.030564263322884012,0.014106583072100314,0.5010570824524313,0.35095137420718814,0.07293868921775898,0.07505285412262157
