experiment_id,policy_freq,profile,method,value,num_episodes,mean_episode_length,total_collisions,mean_speed,lane_0_preference,lane_1_preference,speed_violation_rate,tailgating_violation_rate,braking_violation_rate,lane_keeping_violation_rate,lane_change_tailgating_violation_rate,lane_change_braking_violation_rate,collision_violation_rate,lane_change_collision_violation_rate,cost_rate,avoided_cost_rate,unsafe_slow_rate,unsafe_lane_rate,unsafe_faster_rate,unsafe_idle_rate,unsafe_ttc_slow_rate,unsafe_ttc_lane_rate,unsafe_ttc_faster_rate,unsafe_ttc_idle_rate
0,1,efficient,fixed,0.01,100,21.84,45,23.630894187022307,0.842032967032967,0.15796703296703296,0.0,0.0,0.03296703296703297,0.14194139194139194,0.013278388278388278,0.008241758241758242,0.019230769230769232,0.004578754578754579,0.19642857142857142,1.092032967032967,0.8343771746694503,0.12038970076548365,0.033402922755741124,0.011830201809324982,0.5879332477535302,0.26700898587933247,0.0693196405648267,0.07573812580231065
1,1,efficient,fixed,0.01,100,23.81,32,23.807749779976984,0.8509029819403612,0.14909701805963882,0.0,0.0,0.01889962200755985,0.1385972280554389,0.008399832003359933,0.006719865602687947,0.010499790004199917,0.0037799244015119695,0.17261654766904663,1.0487190256194876,0.8236057068741893,0.11543450064850844,0.04993514915693904,0.011024643320363165,0.5595984943538268,0.2848180677540778,0.07151819322459223,0.08406524466750313
2,1,efficient,fixed,0.01,100,22.08,42,23.618136454841217,0.8455615942028986,0.15443840579710144,0.0,0.0,0.029438405797101448,0.13496376811594202,0.009510869565217392,0.007246376811594203,0.020833333333333332,0.004076086956521739,0.18115942028985507,1.0815217391304348,0.8288043478260869,0.12296195652173914,0.04076086956521739,0.007472826086956522,0.5986577181208054,0.2751677852348993,0.05906040268456376,0.06711409395973154
3,1,efficient,fixed,0.01,100,22.32,42,23.686543613462824,0.8512544802867383,0.14874551971326164,0.0,0.0,0.030913978494623656,0.13172043010752688,0.008512544802867384,0.007168458781362007,0.020161290322580645,0.004480286738351254,0.17831541218637992,1.1025985663082438,0.8326446280991735,0.12190082644628099,0.0371900826446281,0.008264462809917356,0.5919395465994962,0.26574307304785894,0.0743073047858942,0.06801007556675064
4,1,efficient,fixed,0.01,100,22.92,42,23.92969163605742,0.8080279232111692,0.19197207678883071,0.0,0.0,0.0318499127399651,0.1793193717277487,0.008726003490401396,0.006544502617801047,0.02137870855148342,0.0034904013961605585,0.22643979057591623,1.0580279232111693,0.8156424581005587,0.1473463687150838,0.027932960893854747,0.009078212290502794,0.5801781737193764,0.2906458797327394,0.062360801781737196,0.066815144766147
