experiment_id,policy_freq,profile,method,value,num_episodes,mean_episode_length,total_collisions,tet_1s,tet_2s,tet_3s,teud_1v,teud_2v,teud_3v,mean_speed,lane_0_preference,lane_1_preference,lane_2_preference,lane_3_preference,lane_4_preference,lane_5_preference,speed_violation_rate,tailgating_violation_rate,braking_violation_rate,lane_keeping_violation_rate,lane_change_tailgating_violation_rate,lane_change_braking_violation_rate,collision_violation_rate,lane_change_collision_violation_rate,safety_envelope_violation_rate,lane_change_safety_envelope_violation_rate,cost_rate,avoided_cost_rate
0,1,cautious,naive,nan,100,26.96,22,0.010014836795252226,0.032640949554896145,0.07455489614243324,0.010014836795252226,0.03449554896142433,0.09384272997032642,25.63870745653183,0.17433234421364985,0.10534124629080119,0.1327893175074184,0.2822700296735905,0.10756676557863501,0.19770029673590506,0.23330860534124628,0.008902077151335312,0.02188427299703264,0.41135014836795253,0.02559347181008902,0.019658753709198812,0.002967359050445104,0.004821958456973294,nan,nan,0.7206973293768546,0.6350148367952523
1,1,cautious,naive,nan,100,27.25,22,0.012110091743119266,0.03743119266055046,0.08,0.010642201834862385,0.03669724770642202,0.0855045871559633,25.992755371436093,0.1765137614678899,0.13724770642201836,0.16440366972477063,0.2785321100917431,0.11926605504587157,0.12403669724770643,0.31045871559633026,0.006972477064220183,0.024587155963302753,0.4726605504587156,0.02055045871559633,0.02165137614678899,0.0029357798165137615,0.008073394495412844,nan,nan,0.8568807339449541,0.563302752293578
2,1,cautious,naive,nan,100,25.74,27,0.013597513597513598,0.04040404040404041,0.08003108003108003,0.010101010101010102,0.03613053613053613,0.08663558663558664,25.656509662085263,0.17560217560217561,0.12703962703962704,0.1452991452991453,0.27933177933177933,0.08780108780108781,0.18492618492618493,0.25524475524475526,0.015928515928515928,0.029914529914529916,0.45027195027195027,0.026029526029526028,0.022144522144522144,0.004273504273504274,0.00777000777000777,nan,nan,0.7995337995337995,0.5889665889665889
3,1,cautious,naive,nan,100,27.7,20,0.01552346570397112,0.04187725631768953,0.09061371841155234,0.01263537906137184,0.03285198555956679,0.07509025270758123,26.27084674105221,0.19422382671480146,0.12851985559566786,0.12382671480144404,0.26895306859205775,0.12671480144404332,0.15776173285198555,0.3555956678700361,0.007220216606498195,0.027436823104693142,0.44729241877256315,0.022021660649819495,0.023465703971119134,0.005776173285198556,0.005776173285198556,nan,nan,0.8830324909747292,0.5270758122743683
4,1,cautious,naive,nan,100,26.53,22,0.01394647568790049,0.03807010931021485,0.08217112702600829,0.012438748586505842,0.04033169996230682,0.11609498680738786,25.67377354837175,0.16773464003015454,0.10742555597436863,0.14662646061062948,0.27629099133056917,0.1206181681115718,0.18130418394270637,0.25744440256313605,0.02148511119487373,0.026385224274406333,0.41990199773840936,0.026385224274406333,0.02223897474557105,0.00603090840557859,0.0041462495288352805,nan,nan,0.7738409347908028,0.576328684508104
