experiment_id,policy_freq,profile,method,value,num_episodes,mean_episode_length,total_collisions,mean_speed,lane_0_preference,lane_1_preference,lane_2_preference,lane_3_preference,lane_4_preference,lane_5_preference,speed_violation_rate,tailgating_violation_rate,braking_violation_rate,lane_keeping_violation_rate,lane_change_tailgating_violation_rate,lane_change_braking_violation_rate,collision_violation_rate,lane_change_collision_violation_rate,cost_rate,avoided_cost_rate,unsafe_slow_rate,unsafe_lane_rate,unsafe_faster_rate,unsafe_idle_rate,unsafe_ttc_slow_rate,unsafe_ttc_lane_rate,unsafe_ttc_faster_rate,unsafe_ttc_idle_rate
0,1,cautious,fixed,0.1,100,29.83,1,24.157881272637322,0.14213878645658734,0.1092859537378478,0.016426416359369762,0.4126718069057995,0.1287294669795508,0.1907475695608448,0.0,0.0,0.0,0.25645323499832384,0.00033523298692591353,0.0,0.0,0.0,0.25678846798524974,0.914515588333892,0.7676056338028169,0.2323943661971831,0.0,0.0,0.5384615384615384,0.46153846153846156,0.0,0.0
1,1,cautious,fixed,0.1,100,29.74,1,24.05145380298868,0.1768661735036987,0.09482178883658372,0.017484868863483525,0.4266980497646268,0.16577000672494957,0.1183591123066577,0.0,0.0,0.0,0.27639542703429726,0.0,0.0003362474781439139,0.0,0.0,0.2767316745124412,0.9377942165433759,0.7824858757062146,0.2175141242937853,0.0,0.0,0.48717948717948717,0.5128205128205128,0.0,0.0
2,1,cautious,fixed,0.1,100,29.71,2,23.931739838795284,0.10501514641534837,0.04543924604510266,0.018175698418041064,0.4648266576910131,0.14607876135981152,0.22046449007068328,0.0,0.0,0.0030292830696735107,0.15550319757657355,0.001682935038707506,0.0003365870077415012,0.0003365870077415012,0.0003365870077415012,0.16055200269269607,0.9522046449007069,0.8047337278106509,0.1952662721893491,0.0,0.0,0.5714285714285714,0.42857142857142855,0.0,0.0
3,1,cautious,fixed,0.1,100,30.0,0,23.865891792770995,0.20633333333333334,0.07333333333333333,0.019,0.409,0.128,0.16433333333333333,0.0,0.0003333333333333333,0.0,0.288,0.001,0.0,0.0,0.0,0.28933333333333333,0.9326666666666666,0.836405529953917,0.16359447004608296,0.0,0.0,0.6274509803921569,0.37254901960784315,0.0,0.0
4,1,cautious,fixed,0.1,100,30.0,0,24.009797172064612,0.12766666666666668,0.09266666666666666,0.025666666666666667,0.441,0.14833333333333334,0.16466666666666666,0.0,0.0,0.0,0.23333333333333334,0.0003333333333333333,0.0,0.0,0.0,0.23366666666666666,0.9006666666666666,0.8016759776536313,0.19832402234636873,0.0,0.0,0.2222222222222222,0.7777777777777778,0.0,0.0
