episode_id,policy_freq,profile,method,filter,value,episode_length,collision,mean_speed,total_cost,total_avoided_cost,total_expected_cost,total_reward,total_basic_reward,total_added_reward,mean_iterations_to_converge,convergence_rate,outcome_unchanged_count,outcome_naively_augmented_count,outcome_rcps_augmented_count,outcome_projection_count,lane_0_time,lane_1_time,lane_2_time,lane_3_time,lane_4_time,lane_5_time
29,1,right_lane,nop,False,nan,40,0,20.893957345971565,7.0,0.0,9.434876076877117,57.97839840434078,41.22839840434077,16.75,nan,0.0,0,0,0,0,1.0,13.0,26.0,0.0,0.0,0.0
30,1,right_lane,nop,False,nan,40,0,23.518957345971565,0.0,0.0,2.417275256211724,65.1803317535545,45.430331753554505,19.75,nan,0.0,0,0,0,0,0.0,0.0,40.0,0.0,0.0,0.0
31,1,right_lane,nop,False,nan,40,0,24.252496438907308,30.0,0.0,28.21673393016681,52.099830142514115,46.59983014251413,5.5,nan,0.0,0,0,0,0,27.0,5.0,8.0,0.0,0.0,0.0
32,1,right_lane,nop,False,nan,40,0,24.018957345971565,12.5,0.0,13.9348470018449,59.67542568885843,46.42542568885843,13.25,nan,0.0,0,0,0,0,13.0,1.0,26.0,0.0,0.0,0.0
33,1,right_lane,nop,False,nan,40,0,20.518957345971565,32.0,0.0,29.369645938277245,45.12805715019468,40.62805715019468,4.5,nan,0.0,0,0,0,0,27.0,9.0,4.0,0.0,0.0,0.0
34,1,right_lane,nop,False,nan,40,0,23.768957345971565,23.0,0.0,21.496206357195888,54.324310117223675,45.82431011722366,8.5,nan,0.0,0,0,0,0,19.0,7.0,14.0,0.0,0.0,0.0
35,1,right_lane,nop,False,nan,36,1,22.243285939968402,35.0,0.0,31.996479138731956,39.5287048496189,39.0287048496189,0.5,nan,0.0,0,0,0,0,33.0,2.0,1.0,0.0,0.0,0.0
36,1,right_lane,nop,False,nan,40,0,22.893957344227374,6.5,0.0,8.018627553083206,60.4275890963962,43.9275890963962,16.5,nan,0.0,0,0,0,0,0.0,12.0,28.0,0.0,0.0,0.0
37,1,right_lane,nop,False,nan,40,0,24.518957345971565,5.0,0.0,7.845469748192954,64.2770601974912,47.02706019749119,17.25,nan,0.0,0,0,0,0,1.0,10.0,29.0,0.0,0.0,0.0
38,1,right_lane,nop,False,nan,40,0,24.356042655742897,25.5,0.0,23.931816588657966,54.51709135747714,46.76709135747714,7.75,nan,0.0,0,0,0,0,16.0,17.0,7.0,0.0,0.0,0.0
39,1,right_lane,nop,False,nan,40,0,22.143914066891014,13.5,0.0,14.247118703632168,56.87932908077516,43.62932908077516,13.25,nan,0.0,0,0,0,0,11.0,4.0,25.0,0.0,0.0,0.0
40,1,right_lane,nop,False,nan,40,0,23.143957344257103,29.5,0.0,27.652610190212727,50.077013927519005,44.827013927519,5.25,nan,0.0,0,0,0,0,27.0,3.0,10.0,0.0,0.0,0.0
41,1,right_lane,nop,False,nan,40,0,21.89395733317816,29.0,0.0,26.78192315250635,48.32962079077853,42.829620790778534,5.5,nan,0.0,0,0,0,0,25.0,6.0,9.0,0.0,0.0,0.0
42,1,right_lane,nop,False,nan,40,0,22.643957345971565,18.0,0.0,17.604543671601277,55.026740011042975,44.026740011042975,11.0,nan,0.0,0,0,0,0,15.0,6.0,19.0,0.0,0.0,0.0
43,1,right_lane,nop,False,nan,40,0,20.893957345971565,10.5,0.0,11.308838082557486,55.47899003089371,41.228990030893705,14.25,nan,0.0,0,0,0,0,4.0,14.0,22.0,0.0,0.0,0.0
44,1,right_lane,nop,False,nan,40,0,23.268957345971565,20.5,0.0,20.4648939821368,55.02567438562392,45.025674385623915,10.0,nan,0.0,0,0,0,0,10.0,21.0,9.0,0.0,0.0,0.0
45,1,right_lane,nop,False,nan,40,0,22.768956498296195,30.5,0.0,28.847317337520508,49.22746296224554,44.22746296224554,5.0,nan,0.0,0,0,0,0,29.0,2.0,9.0,0.0,0.0,0.0
46,1,right_lane,nop,False,nan,40,0,22.143957345971565,9.5,0.0,10.85301689148855,58.47775917497121,43.227759174971204,15.25,nan,0.0,0,0,0,0,4.0,10.0,26.0,0.0,0.0,0.0
47,1,right_lane,nop,False,nan,40,0,22.268957345971565,0.5,0.0,4.302285178191596,62.678399108860894,43.4283991088609,19.25,nan,0.0,0,0,0,0,1.0,1.0,38.0,0.0,0.0,0.0
