episode_id,policy_freq,profile,method,filter,value,episode_length,collision,mean_speed,total_cost,total_avoided_cost,total_expected_cost,total_reward,total_basic_reward,total_added_reward,mean_iterations_to_converge,convergence_rate,outcome_unchanged_count,outcome_naively_augmented_count,outcome_rcps_augmented_count,outcome_projection_count,lane_0_time,lane_1_time,lane_2_time,lane_3_time,lane_4_time,lane_5_time
10,1,right_lane,nop,False,nan,40,0,25.393957345967202,15.0,0.0,16.01945886015892,60.44995784999902,48.44995784999904,12.0,nan,0.0,0,0,0,0,10.0,10.0,20.0,0.0,0.0,0.0
11,1,right_lane,nop,False,nan,9,1,25.639592686973558,9.0,0.0,8.753063142299652,11.33025336731654,10.83025336731654,0.5,nan,0.0,0,0,0,0,9.0,0.0,0.0,0.0,0.0,0.0
12,1,right_lane,nop,False,nan,40,0,22.37532874938229,10.0,0.0,12.05612937733531,57.59615699809431,43.096156998094315,14.5,nan,0.0,0,0,0,0,2.0,18.0,20.0,0.0,0.0,0.0
13,1,right_lane,nop,False,nan,40,0,22.643957345971565,14.5,0.0,15.776690778156762,56.975932654030245,44.22593265403025,12.75,nan,0.0,0,0,0,0,12.0,5.0,23.0,0.0,0.0,0.0
14,1,right_lane,nop,False,nan,40,0,21.393957345971565,11.5,0.0,12.463292174041271,56.27941241717475,42.02941241717475,14.25,nan,0.0,0,0,0,0,0.0,23.0,17.0,0.0,0.0,0.0
15,1,right_lane,nop,False,nan,40,0,24.981371502275085,8.5,0.0,9.670247969810589,63.51740489849149,47.76740489849149,15.75,nan,0.0,0,0,0,0,7.0,5.0,28.0,0.0,0.0,0.0
16,1,right_lane,nop,False,nan,40,0,22.893957345971565,9.0,0.0,10.598203306604773,60.57310630149573,44.82310630149573,15.75,nan,0.0,0,0,0,0,7.0,5.0,28.0,0.0,0.0,0.0
17,1,right_lane,nop,False,nan,40,0,27.106042667044203,11.0,0.0,11.711140816528314,65.91222786464031,51.16222786464033,14.75,nan,0.0,0,0,0,0,7.0,8.0,25.0,0.0,0.0,0.0
18,1,right_lane,nop,False,nan,19,1,24.776752099171972,0.5,0.0,1.0440926465998928,31.830331577287875,22.830331577287875,9.0,nan,0.0,0,0,0,0,0.0,0.0,19.0,0.0,0.0,0.0
19,1,right_lane,nop,False,nan,40,0,22.768957345971565,8.0,0.0,10.17617416381836,59.476961348448796,43.7269613484488,15.75,nan,0.0,0,0,0,0,7.0,2.0,31.0,0.0,0.0,0.0
20,1,right_lane,nop,False,nan,40,0,24.018957345745793,24.0,0.0,24.75791833549738,54.2266926987666,46.2266926987666,8.0,nan,0.0,0,0,0,0,22.0,6.0,12.0,0.0,0.0,0.0
21,1,right_lane,nop,False,nan,40,0,23.643957345716643,25.0,0.0,24.317111093300582,53.62619431280213,45.62619431280213,8.0,nan,0.0,0,0,0,0,16.0,18.0,6.0,0.0,0.0,0.0
22,1,right_lane,nop,False,nan,40,0,24.643628695453636,37.5,0.0,35.456519067287445,48.47862762276015,47.22862762276015,1.25,nan,0.0,0,0,0,0,35.0,5.0,0.0,0.0,0.0,0.0
23,1,right_lane,nop,False,nan,40,0,21.518957345971565,38.5,0.0,35.12596715986729,42.9788549986413,42.2288549986413,0.75,nan,0.0,0,0,0,0,37.0,1.0,2.0,0.0,0.0,0.0
24,1,right_lane,nop,False,nan,40,0,21.143957345971565,15.0,0.0,15.854428216814995,53.802124980392044,41.802124980392044,12.0,nan,0.0,0,0,0,0,5.0,21.0,14.0,0.0,0.0,0.0
25,1,right_lane,nop,False,nan,40,0,21.143957345971565,23.5,0.0,22.13429631665349,50.38032012982199,41.63032012982198,8.75,nan,0.0,0,0,0,0,14.0,17.0,9.0,0.0,0.0,0.0
26,1,right_lane,nop,False,nan,40,0,21.268957345971558,23.5,0.0,22.02195390542147,50.078471451929026,41.82847145192902,8.25,nan,0.0,0,0,0,0,18.0,9.0,13.0,0.0,0.0,0.0
27,1,right_lane,nop,False,nan,40,0,22.643957345971565,13.0,0.0,14.083776593208313,57.27798176956807,44.02798176956808,13.25,nan,0.0,0,0,0,0,7.0,12.0,21.0,0.0,0.0,0.0
28,1,right_lane,nop,False,nan,40,0,21.893957345971565,1.5,0.0,3.4324506196426228,61.82828020557467,42.828280205574664,19.0,nan,0.0,0,0,0,0,0.0,3.0,37.0,0.0,0.0,0.0
