episode_id,policy_freq,profile,method,value,episode_length,collision,mean_speed,lane_0_time,lane_1_time,lane_2_time,total_cost,total_avoided_cost,total_reward,total_basic_reward,total_added_reward,mean_iterations_to_converge,convergence_rate,outcome_unchanged_count,outcome_naively_augmented_count,outcome_rcps_augmented_count,outcome_projection_count
37,1,right_lane,naive,nan,40,0,23.268957345971494,1.0,1.0,38.0,0.5,12.0,64.97493184351472,45.22493184351472,19.75,nan,0.0,0,40,0,0
38,1,right_lane,naive,nan,40,0,21.268957345971565,0.0,0.0,40.0,0.0,6.0,61.830331753554596,41.83033175355459,20.0,nan,0.0,0,40,0,0
39,1,right_lane,naive,nan,40,0,21.76895733466685,0.0,1.0,39.0,0.0,6.5,62.629398311598564,42.62939831159856,20.0,nan,0.0,0,40,0,0
40,1,right_lane,naive,nan,40,0,23.01895723411776,15.0,2.0,23.0,17.0,7.5,56.629410079466766,44.62941007946676,12.0,nan,0.0,0,40,0,0
41,1,right_lane,naive,nan,16,1,20.98489336492874,0.0,0.0,16.0,0.0,4.0,23.930331908952933,16.430331908952933,7.5,nan,0.0,0,16,0,0
42,1,right_lane,naive,nan,40,0,22.518957345971565,4.0,3.0,33.0,5.5,5.5,61.0783991088609,43.3283991088609,17.75,nan,0.0,0,40,0,0
43,1,right_lane,naive,nan,40,0,22.64395734428684,0.0,1.0,39.0,0.0,12.0,63.529398326990545,44.02939832699053,19.5,nan,0.0,0,40,0,0
44,1,right_lane,naive,nan,40,0,23.518629347340514,7.0,3.0,30.0,8.0,7.5,61.42745697409898,45.42745697409899,16.0,nan,0.0,0,40,0,0
45,1,right_lane,naive,nan,40,0,22.768956498296195,29.0,2.0,9.0,30.5,0.0,49.477918650878635,44.227918650878635,5.25,nan,0.0,0,40,0,0
46,1,right_lane,naive,nan,40,0,22.143957345971565,0.0,4.0,36.0,1.5,5.5,61.97775917490999,43.227759174909984,18.75,nan,0.0,0,40,0,0
47,1,right_lane,naive,nan,40,0,22.268957345971565,1.0,1.0,38.0,0.5,0.0,63.178399108860894,43.4283991088609,19.75,nan,0.0,0,40,0,0
48,1,right_lane,naive,nan,40,0,25.268956694084682,14.0,4.0,22.0,15.0,3.5,60.72842791322792,48.22842791322792,12.5,nan,0.0,0,40,0,0
49,1,right_lane,naive,nan,40,0,22.768914804623083,10.0,12.0,18.0,15.5,3.5,56.47822797190383,44.22822797190383,12.25,nan,0.0,0,40,0,0
50,1,right_lane,naive,nan,40,0,22.768957345971565,5.0,5.0,30.0,7.5,5.5,60.477608481909144,44.22760848190914,16.25,nan,0.0,0,40,0,0
51,1,right_lane,naive,nan,40,0,23.893957345971565,6.0,7.0,27.0,9.5,1.0,61.27727548040788,46.02727548040788,15.25,nan,0.0,0,40,0,0
52,1,right_lane,naive,nan,40,0,21.768957345971565,3.0,2.0,35.0,3.0,3.5,61.12891743791034,42.62891743791034,18.5,nan,0.0,0,40,0,0
53,1,right_lane,naive,nan,19,1,20.829383886255922,0.0,0.0,19.0,0.0,7.0,28.930331753554505,19.430331753554505,9.5,nan,0.0,0,19,0,0
54,1,right_lane,naive,nan,40,0,22.393957345971565,0.0,0.0,40.0,0.0,1.0,63.13033175355449,43.1303317535545,20.0,nan,0.0,0,40,0,0
55,1,right_lane,naive,nan,40,0,22.518957345971565,1.0,1.0,38.0,0.5,5.5,63.578399108860886,43.82839910886088,19.75,nan,0.0,0,40,0,0
56,1,right_lane,naive,nan,40,0,22.983867844032495,10.0,1.0,29.0,9.5,4.0,59.82232784277623,44.57232784277623,15.25,nan,0.0,0,40,0,0
57,1,right_lane,naive,nan,40,0,20.75249644062177,0.0,1.0,39.0,0.0,1.0,61.39913518154621,41.39913518154621,20.0,nan,0.0,0,40,0,0
58,1,right_lane,naive,nan,40,0,20.393957345971565,0.0,0.0,40.0,0.0,0.0,60.45320089613101,40.45320089613101,20.0,nan,0.0,0,40,0,0
59,1,right_lane,naive,nan,11,1,24.614387259584337,11.0,0.0,0.0,11.0,0.0,13.330330394217107,12.830330394217107,0.5,nan,0.0,0,11,0,0
60,1,right_lane,naive,nan,40,0,21.643957345971565,0.0,1.0,39.0,0.0,0.5,61.42939832968611,41.9293983296861,19.5,nan,0.0,0,40,0,0
61,1,right_lane,naive,nan,40,0,22.768957345971565,14.0,3.0,23.0,15.0,0.0,56.72963543397625,44.22963543397625,12.5,nan,0.0,0,40,0,0
62,1,right_lane,naive,nan,40,0,22.268957345971565,2.0,1.0,37.0,1.5,4.0,62.67839840434077,43.42839840434078,19.25,nan,0.0,0,40,0,0
63,1,right_lane,naive,nan,40,0,22.018957345971565,10.0,24.0,6.0,21.0,1.0,52.52898849099734,43.028988490997335,9.5,nan,0.0,0,40,0,0
64,1,right_lane,naive,nan,40,0,21.643957345971565,2.0,5.0,33.0,4.5,4.5,60.17754658603251,42.42754658603252,17.75,nan,0.0,0,40,0,0
65,1,right_lane,naive,nan,33,1,23.81085738905644,0.0,1.0,32.0,0.0,9.5,54.3293983296861,37.82939832968611,16.5,nan,0.0,0,33,0,0
66,1,right_lane,naive,nan,40,0,21.518957345971565,23.0,17.0,0.0,31.0,2.5,46.47939280467738,41.72939280467738,4.75,nan,0.0,0,40,0,0
67,1,right_lane,naive,nan,40,0,21.143957345971565,0.0,1.0,39.0,0.0,3.0,61.37939766843067,41.62939766843068,19.75,nan,0.0,0,40,0,0
68,1,right_lane,naive,nan,40,0,24.997510011146723,10.0,4.0,26.0,11.5,8.5,62.04390637782087,47.79390637782087,14.25,nan,0.0,0,40,0,0
69,1,right_lane,naive,nan,40,0,20.643957345971565,2.0,1.0,37.0,1.5,0.5,60.28185774558248,41.03185774558248,19.25,nan,0.0,0,40,0,0
70,1,right_lane,naive,nan,40,0,20.768957345971565,1.0,1.0,38.0,0.5,17.0,60.77839910880876,41.02839910880877,19.75,nan,0.0,0,40,0,0
71,1,right_lane,naive,nan,40,0,22.268957345971057,1.0,1.0,38.0,0.5,3.0,63.17839910886008,43.428399108860084,19.75,nan,0.0,0,40,0,0
72,1,right_lane,naive,nan,40,0,24.375005701017248,35.0,5.0,0.0,37.0,0.5,48.46975405775841,46.96975405775841,1.5,nan,0.0,0,40,0,0
73,1,right_lane,naive,nan,40,0,20.268957345971565,0.0,0.0,40.0,0.0,17.0,60.429324703740775,40.429324703740775,20.0,nan,0.0,0,40,0,0
74,1,right_lane,naive,nan,40,0,21.768957345971565,4.0,1.0,35.0,3.5,0.5,60.87853680294435,42.62853680294435,18.25,nan,0.0,0,40,0,0
75,1,right_lane,naive,nan,40,0,23.643957345971565,18.0,1.0,21.0,17.5,7.0,56.87839877673206,45.62839877673206,11.25,nan,0.0,0,40,0,0
76,1,right_lane,naive,nan,40,0,20.268957345971565,0.0,0.0,40.0,0.0,7.5,60.2303317535545,40.2303317535545,20.0,nan,0.0,0,40,0,0
77,1,right_lane,naive,nan,40,0,22.393957345971565,21.0,4.0,15.0,24.0,2.5,52.12962286549937,43.62962286549937,8.5,nan,0.0,0,40,0,0
78,1,right_lane,naive,nan,40,0,21.268957345971565,0.0,1.0,39.0,0.0,3.5,61.32939766774115,41.82939766774114,19.5,nan,0.0,0,40,0,0
79,1,right_lane,naive,nan,40,0,23.518957345971554,8.0,1.0,31.0,7.5,2.5,61.67837715058449,45.42837715058449,16.25,nan,0.0,0,40,0,0
80,1,right_lane,naive,nan,40,0,24.766460154854055,7.0,6.0,27.0,11.0,6.5,62.42562579369366,47.42562579369366,15.0,nan,0.0,0,40,0,0
81,1,right_lane,naive,nan,40,0,21.766466606367043,0.0,1.0,39.0,0.0,2.5,62.12888249496608,42.62888249496607,19.5,nan,0.0,0,40,0,0
82,1,right_lane,naive,nan,40,0,21.268957345971565,0.0,0.0,40.0,0.0,3.0,61.83379213911206,41.83379213911206,20.0,nan,0.0,0,40,0,0
83,1,right_lane,naive,nan,40,0,22.391789654732086,1.0,1.0,38.0,0.5,11.0,63.374930802877735,43.62493080287773,19.75,nan,0.0,0,40,0,0
84,1,right_lane,naive,nan,40,0,22.643957345971565,0.0,0.0,40.0,0.0,1.0,64.03334332788558,44.03334332788558,20.0,nan,0.0,0,40,0,0
85,1,right_lane,naive,nan,40,0,20.893957345971565,0.0,0.0,40.0,0.0,7.0,61.2303317535545,41.2303317535545,20.0,nan,0.0,0,40,0,0
86,1,right_lane,naive,nan,40,0,21.393957345971554,0.0,0.0,40.0,0.0,7.5,62.030331753554485,42.03033175355448,20.0,nan,0.0,0,40,0,0
87,1,right_lane,naive,nan,40,0,21.018957345971565,1.0,1.0,38.0,0.5,1.5,61.178398403043936,41.42839840304394,19.75,nan,0.0,0,40,0,0
88,1,right_lane,naive,nan,40,0,22.89391975488909,14.0,2.0,24.0,14.5,2.5,57.177476833239375,44.42747683323939,12.75,nan,0.0,0,40,0,0
89,1,right_lane,naive,nan,40,0,22.643957345971565,7.0,1.0,32.0,6.5,12.5,60.778429369671116,44.02842936967111,16.75,nan,0.0,0,40,0,0
90,1,right_lane,naive,nan,40,0,22.143957345971565,8.0,19.0,13.0,17.0,2.0,54.72707010430991,43.22707010430992,11.5,nan,0.0,0,40,0,0
91,1,right_lane,naive,nan,40,0,22.143957345971565,0.0,0.0,40.0,0.0,7.0,63.230331753554516,43.23033175355451,20.0,nan,0.0,0,40,0,0
92,1,right_lane,naive,nan,40,0,22.643957345971565,6.0,1.0,33.0,5.5,0.5,61.2788940318288,44.028894031828806,17.25,nan,0.0,0,40,0,0
93,1,right_lane,naive,nan,40,0,20.518957345971565,0.0,0.0,40.0,0.0,19.0,60.6303317535545,40.63033175355451,20.0,nan,0.0,0,40,0,0
94,1,right_lane,naive,nan,40,0,21.518957345971565,0.0,0.0,40.0,0.0,17.0,62.23033175355451,42.2303317535545,20.0,nan,0.0,0,40,0,0
95,1,right_lane,naive,nan,40,0,21.768957345971565,0.0,1.0,39.0,0.0,2.5,62.62939766843071,42.62939766843073,20.0,nan,0.0,0,40,0,0
96,1,right_lane,naive,nan,40,0,21.268957345967657,1.0,1.0,38.0,0.5,2.0,61.57839910880253,41.82839910880251,19.75,nan,0.0,0,40,0,0
97,1,right_lane,naive,nan,40,0,23.643957345971565,0.0,1.0,39.0,0.0,6.0,65.62939766774726,45.629397667747256,20.0,nan,0.0,0,40,0,0
98,1,right_lane,naive,nan,40,0,22.018957345971565,0.0,1.0,39.0,0.0,6.0,63.02939766774115,43.029397667741144,20.0,nan,0.0,0,40,0,0
99,1,right_lane,naive,nan,40,0,22.518913969741114,5.0,6.0,29.0,7.0,4.5,60.32768328668927,43.82768328668928,16.5,nan,0.0,0,40,0,0
100,1,right_lane,naive,nan,40,0,23.143957345971565,1.0,1.0,38.0,0.5,1.0,64.57845866695631,44.82845866695631,19.75,nan,0.0,0,40,0,0
101,1,right_lane,naive,nan,40,0,23.518957345971565,13.0,2.0,25.0,13.0,3.0,58.92698519732038,45.42698519732038,13.5,nan,0.0,0,40,0,0
102,1,right_lane,naive,nan,13,1,23.135253366251842,0.0,0.0,13.0,0.0,0.0,20.930331750450954,14.430331750450957,6.5,nan,0.0,0,13,0,0
103,1,right_lane,naive,nan,40,0,24.518957345971565,7.0,5.0,28.0,9.0,0.5,62.27532129592045,46.52532129592044,15.75,nan,0.0,0,40,0,0
104,1,right_lane,naive,nan,40,0,20.518957345971565,0.0,1.0,39.0,0.0,5.5,60.379397666520454,40.629397666520454,19.75,nan,0.0,0,40,0,0
105,1,right_lane,naive,nan,40,0,22.768956694084682,10.0,1.0,29.0,9.5,1.0,59.47837610062364,44.228376100623635,15.25,nan,0.0,0,40,0,0
106,1,right_lane,naive,nan,40,0,21.268957345971565,0.0,0.0,40.0,0.0,2.0,61.83033265922121,41.83033265922122,20.0,nan,0.0,0,40,0,0
107,1,right_lane,naive,nan,40,0,24.143957345967713,14.0,2.0,24.0,14.0,1.0,59.42891779751081,46.42891779751081,13.0,nan,0.0,0,40,0,0
108,1,right_lane,naive,nan,40,0,21.768957345971053,1.0,1.0,38.0,0.5,3.5,62.3783984043453,42.628398404345305,19.75,nan,0.0,0,40,0,0
109,1,right_lane,naive,nan,40,0,22.643957345971565,0.0,1.0,39.0,0.0,3.0,64.02939832968683,44.029398329686835,20.0,nan,0.0,0,40,0,0
110,1,right_lane,naive,nan,40,0,22.518957345971565,10.0,5.0,25.0,11.5,10.5,58.079314402598946,43.829314402598946,14.25,nan,0.0,0,40,0,0
111,1,right_lane,naive,nan,40,0,21.768957345971565,27.0,1.0,12.0,26.5,2.5,49.380331753554515,42.63033175355451,6.75,nan,0.0,0,40,0,0
112,1,right_lane,naive,nan,40,0,22.518956496360392,7.0,23.0,10.0,17.5,1.0,55.078703771944774,43.828703771944774,11.25,nan,0.0,0,40,0,0
113,1,right_lane,naive,nan,40,0,21.893957345971565,4.0,2.0,34.0,4.5,14.0,60.57744771616607,42.82744771616607,17.75,nan,0.0,0,40,0,0
114,1,right_lane,naive,nan,40,0,20.643957345971565,0.0,7.0,33.0,3.0,12.0,59.32986983293866,40.82986983293866,18.5,nan,0.0,0,40,0,0
115,1,right_lane,naive,nan,40,0,22.143957345971565,1.0,2.0,37.0,1.0,0.0,62.72870484961889,43.2287048496189,19.5,nan,0.0,0,40,0,0
116,1,right_lane,naive,nan,30,1,20.358609794628755,0.0,0.0,30.0,0.0,12.5,45.2303317535545,30.230331753554502,15.0,nan,0.0,0,30,0,0
117,1,right_lane,naive,nan,40,0,25.518957345971494,15.0,4.0,21.0,16.0,0.5,60.128929418829394,48.1289294188294,12.0,nan,0.0,0,40,0,0
118,1,right_lane,naive,nan,40,0,22.018634297606518,36.0,4.0,0.0,38.0,0.0,44.27796456224062,43.02796456224062,1.25,nan,0.0,0,40,0,0
119,1,right_lane,naive,nan,40,0,22.018957345971565,0.0,0.0,40.0,0.0,10.5,62.95444311620416,43.20444311620417,19.75,nan,0.0,0,40,0,0
120,1,right_lane,naive,nan,40,0,22.14395734597149,0.0,1.0,39.0,0.5,0.0,62.97893676050451,43.22893676050451,19.75,nan,0.0,0,40,0,0
