episode_id,policy_freq,profile,method,value,episode_length,collision,mean_speed,lane_0_time,lane_1_time,lane_2_time,total_cost,total_avoided_cost,total_reward,total_basic_reward,total_added_reward,mean_iterations_to_converge,convergence_rate,outcome_unchanged_count,outcome_naively_augmented_count,outcome_rcps_augmented_count,outcome_projection_count
34,1,right_lane,adaptive,0.0316,40,0,23.518957345971113,0.0,5.0,35.0,2.0,4.5,64.42799392852466,45.42799392852466,19.0,18.0,0.925,0,0,37,3
35,1,right_lane,adaptive,0.0316,5,1,21.15161315963453,0.0,0.0,5.0,0.0,2.5,7.53032263192753,5.03032263192753,2.5,18.0,1.0,0,0,5,0
36,1,right_lane,adaptive,0.0316,40,0,21.752495691584983,0.0,0.0,40.0,0.0,2.0,62.1040010269616,42.10400102696159,20.0,18.0,0.975,0,0,39,1
37,1,right_lane,adaptive,0.0316,40,0,23.268957345971494,1.0,1.0,38.0,0.5,12.0,64.97493184351472,45.22493184351472,19.75,18.0,0.9,0,0,36,4
38,1,right_lane,adaptive,0.0316,40,0,21.268957345971565,0.0,0.0,40.0,0.0,6.0,61.830331753554596,41.83033175355459,20.0,18.0,0.975,0,0,39,1
39,1,right_lane,adaptive,0.0316,40,0,21.76895733466685,0.0,1.0,39.0,0.0,6.5,62.629398311598564,42.62939831159856,20.0,18.0,0.95,0,0,38,2
40,1,right_lane,adaptive,0.0316,40,0,21.893957345971565,0.0,5.0,35.0,2.5,14.5,61.578986289191185,42.82898628919118,18.75,18.0,0.925,0,0,37,3
41,1,right_lane,adaptive,0.0316,40,0,21.393957345971565,0.0,3.0,37.0,1.5,9.0,61.27963774912696,42.02963774912696,19.25,18.0,1.0,0,0,40,0
42,1,right_lane,adaptive,0.0316,40,0,22.518957345971565,1.0,6.0,33.0,3.5,7.5,62.3283991088609,43.8283991088609,18.5,18.0,0.9,0,0,36,4
43,1,right_lane,adaptive,0.0316,40,0,22.64395734428684,0.0,1.0,39.0,0.0,12.0,63.779398326990545,44.02939832699053,19.75,18.0,0.875,0,0,35,5
44,1,right_lane,adaptive,0.0316,40,0,21.643957345971565,0.0,6.0,34.0,2.5,3.5,61.179380736549525,42.42938073654953,18.75,18.0,0.975,0,0,39,1
45,1,right_lane,adaptive,0.0316,40,0,22.643957344035314,1.0,18.0,21.0,9.5,10.0,59.27581479304079,44.025814793040794,15.25,18.0,0.875,0,0,35,5
46,1,right_lane,adaptive,0.0316,40,0,22.143957345971565,0.0,4.0,36.0,1.5,5.5,62.47775799992428,43.22775799992427,19.25,18.0,0.95,0,0,38,2
47,1,right_lane,adaptive,0.0316,40,0,22.268957345971565,1.0,1.0,38.0,0.5,0.0,63.178399108860894,43.4283991088609,19.75,18.0,0.925,0,0,37,3
48,1,right_lane,adaptive,0.0316,40,0,23.393957345775522,1.0,7.0,32.0,3.5,2.5,63.47844578422249,45.22844578422248,18.25,18.0,0.75,0,0,30,10
49,1,right_lane,adaptive,0.0316,40,0,22.768914804623083,8.0,13.0,19.0,14.0,4.0,57.226819195143534,44.226819195143534,13.0,18.0,1.0,0,0,40,0
50,1,right_lane,adaptive,0.0316,40,0,22.643957345971565,1.0,3.0,36.0,2.5,10.5,62.777311624671455,44.02731162467145,18.75,18.0,0.975,0,0,39,1
51,1,right_lane,adaptive,0.0316,40,0,22.643957345971565,0.0,8.0,32.0,4.0,12.0,62.02844969429218,44.02844969429218,18.0,18.0,0.85,0,0,34,6
52,1,right_lane,adaptive,0.0316,40,0,21.643957345971565,1.0,6.0,33.0,3.0,12.0,60.927686389983,42.427686389983016,18.5,18.0,1.0,0,0,40,0
53,1,right_lane,adaptive,0.0316,19,1,20.829383886255922,0.0,0.0,19.0,0.0,7.0,28.930331753554505,19.430331753554505,9.5,18.0,1.0,0,0,19,0
54,1,right_lane,adaptive,0.0316,40,0,22.393957345971565,0.0,0.0,40.0,0.0,1.0,63.13033175355449,43.1303317535545,20.0,18.0,0.925,0,0,37,3
55,1,right_lane,adaptive,0.0316,40,0,22.518957345971565,1.0,1.0,38.0,0.5,5.5,63.578399108860886,43.82839910886088,19.75,18.0,0.9,0,0,36,4
56,1,right_lane,adaptive,0.0316,40,0,21.143957345945747,1.0,1.0,38.0,0.5,7.0,61.37839717644364,41.62839717644364,19.75,18.0,1.0,0,0,40,0
57,1,right_lane,adaptive,0.0316,40,0,20.75249644062177,0.0,1.0,39.0,0.0,1.0,61.003060219217346,41.003060219217346,20.0,18.0,1.0,0,0,40,0
58,1,right_lane,adaptive,0.0316,40,0,20.393957345971565,0.0,0.0,40.0,0.0,0.0,60.45320089613101,40.45320089613101,20.0,18.0,1.0,0,0,40,0
59,1,right_lane,adaptive,0.0316,40,0,21.516504195735575,1.0,1.0,38.0,0.5,7.0,61.974472136107366,42.224472136107366,19.75,18.0,1.0,0,0,40,0
60,1,right_lane,adaptive,0.0316,40,0,21.643957345971565,0.0,1.0,39.0,0.0,0.5,62.43280649231849,42.43280649231849,20.0,18.0,0.95,0,0,38,2
61,1,right_lane,adaptive,0.0316,40,0,21.518957345971565,2.0,34.0,4.0,18.5,7.5,52.97891703953383,42.22891703953383,10.75,18.0,1.0,0,0,40,0
62,1,right_lane,adaptive,0.0316,40,0,22.268957345971565,1.0,1.0,38.0,0.5,4.5,63.17839840434078,43.42839840434078,19.75,18.0,0.975,0,0,39,1
63,1,right_lane,adaptive,0.0316,40,0,23.12749644062177,1.0,16.0,23.0,8.5,14.5,60.80305481602986,44.80305481602984,16.0,18.0,0.95,0,0,38,2
64,1,right_lane,adaptive,0.0316,40,0,21.643957345971565,0.0,4.0,36.0,2.0,4.5,61.54983418309483,42.79983418309484,18.75,18.0,0.925,0,0,37,3
