episode_id,policy_freq,profile,method,value,episode_length,collision,mean_speed,lane_0_time,lane_1_time,lane_2_time,total_cost,total_avoided_cost,total_reward,total_basic_reward,total_added_reward,mean_iterations_to_converge,convergence_rate,outcome_unchanged_count,outcome_naively_augmented_count,outcome_rcps_augmented_count,outcome_projection_count
0,1,right_lane,adaptive,0.3162,40,0,21.51895734428684,1.0,1.0,38.0,0.5,5.0,61.478398401643936,42.22839840164393,19.25,18.0,0.05,0,0,2,38
1,1,right_lane,adaptive,0.3162,18,1,20.875460768825693,1.0,1.0,16.0,0.5,9.0,27.178397178825556,18.42839717882555,8.75,18.0,1.0,0,0,18,0
2,1,right_lane,adaptive,0.3162,40,0,20.768957345971565,0.0,0.0,40.0,0.0,0.5,60.530331753554506,40.530331753554506,20.0,nan,0.0,0,0,0,40
3,1,right_lane,adaptive,0.3162,40,0,21.3939566082395,0.0,0.0,40.0,0.0,8.0,62.03033057318319,42.0303305731832,20.0,18.0,0.075,0,0,3,37
4,1,right_lane,adaptive,0.3162,40,0,21.018919754889087,0.0,1.0,39.0,0.0,1.0,61.429338546940656,41.42933854694065,20.0,18.0,0.025,0,0,1,39
5,1,right_lane,adaptive,0.3162,40,0,23.0189509930675,1.0,1.0,38.0,0.5,1.5,64.37844046573316,44.62844046573316,19.75,18.0,0.05,0,0,2,38
6,1,right_lane,adaptive,0.3162,40,0,21.768951743818228,1.0,1.0,38.0,0.5,6.5,62.378397039131855,42.628397039131855,19.75,18.0,0.1,0,0,4,36
7,1,right_lane,adaptive,0.3162,40,0,20.518957345971565,0.0,1.0,39.0,0.0,9.0,60.62940545081388,40.62940545081388,20.0,18.0,0.025,0,0,1,39
8,1,right_lane,adaptive,0.3162,40,0,21.893957345971565,1.0,1.0,38.0,0.5,2.0,62.578398404340774,42.82839840434077,19.75,18.0,0.05,0,0,2,38
9,1,right_lane,adaptive,0.3162,40,0,21.893957334666847,1.0,5.0,34.0,3.0,5.0,61.3284630728601,42.828463072860096,18.5,18.0,0.225,0,0,9,31
