experiment_id,policy_freq,profile,method,value,num_episodes,mean_episode_length,total_collisions,mean_speed,lane_0_preference,lane_1_preference,lane_2_preference,lane_3_preference,speed_violation_rate,tailgating_violation_rate,braking_violation_rate,lane_keeping_violation_rate,lane_change_tailgating_violation_rate,lane_change_braking_violation_rate,collision_violation_rate,lane_change_collision_violation_rate,cost_rate,avoided_cost_rate,unsafe_slow_rate,unsafe_lane_rate,unsafe_faster_rate,unsafe_idle_rate,unsafe_ttc_slow_rate,unsafe_ttc_lane_rate,unsafe_ttc_faster_rate,unsafe_ttc_idle_rate
0,1,efficient,naive,nan,100,26.79,24,29.325560809522077,0.3624486748786861,0.43822321761851435,0.085852930197835,0.11347517730496454,0.0,0.0048525569242254575,0.020530048525569243,0.1866368047779022,0.010078387458006719,0.010078387458006719,0.010451661067562523,0.008585293019783502,0.23217618514371033,0.11907428144830161,0.2966360856269113,0.636085626911315,0.03363914373088685,0.03363914373088685,0.10013531799729364,0.577807848443843,0.13125845737483086,0.19079837618403248
1,1,efficient,naive,nan,100,26.69,26,29.39525910893804,0.3810415886099663,0.43724241288872234,0.0846759085799925,0.09704008992131885,0.0,0.003746721618583739,0.02098164106406894,0.172349194454852,0.011614837017609592,0.011614837017609592,0.009366804046459348,0.010116148370176097,0.22030723117272386,0.11577369801423754,0.26973684210526316,0.6611842105263158,0.023026315789473683,0.046052631578947366,0.09325681492109039,0.5853658536585366,0.10616929698708752,0.2152080344332855
2,1,efficient,naive,nan,100,26.12,27,29.444254682550355,0.3709800918836141,0.445635528330781,0.09915773353751914,0.08422664624808576,0.0,0.006891271056661562,0.021822358346094948,0.16998468606431852,0.009188361408882083,0.013016845329249618,0.009954058192955589,0.008039816232771823,0.22090352220520673,0.11944869831546708,0.21666666666666667,0.72,0.03666666666666667,0.02666666666666667,0.08484005563282336,0.6036161335187761,0.13351877607788595,0.1780250347705146
3,1,efficient,naive,nan,100,26.71,29,29.318200457247933,0.3680269561961812,0.45376263571695996,0.10183451890677649,0.07637588918008237,0.0,0.004492699363534257,0.017970797454137027,0.16510670160988394,0.010108573567952079,0.011980531636091352,0.008236615499812805,0.010108573567952079,0.20965930363159865,0.12841632347435417,0.2956810631229236,0.6378737541528239,0.03322259136212625,0.03322259136212625,0.10028653295128939,0.5773638968481375,0.1361031518624642,0.18624641833810887
4,1,efficient,naive,nan,100,25.44,31,29.20097822129513,0.35455974842767296,0.47327044025157233,0.09355345911949685,0.07861635220125786,0.0,0.008254716981132075,0.027122641509433963,0.1584119496855346,0.009040880503144654,0.010220125786163521,0.01218553459119497,0.007861635220125786,0.2130503144654088,0.13718553459119498,0.3063583815028902,0.5924855491329479,0.05491329479768786,0.046242774566473986,0.10428571428571429,0.6142857142857143,0.12142857142857143,0.16
