experiment_id,policy_freq,profile,method,value,num_episodes,mean_episode_length,total_collisions,mean_speed,lane_0_preference,lane_1_preference,speed_violation_rate,tailgating_violation_rate,braking_violation_rate,lane_keeping_violation_rate,lane_change_tailgating_violation_rate,lane_change_braking_violation_rate,collision_violation_rate,lane_change_collision_violation_rate,cost_rate,avoided_cost_rate,unsafe_slow_rate,unsafe_lane_rate,unsafe_faster_rate,unsafe_idle_rate,unsafe_ttc_slow_rate,unsafe_ttc_lane_rate,unsafe_ttc_faster_rate,unsafe_ttc_idle_rate
0,1,cautious,fixed,0.1,100,26.8,21,22.06189796652999,0.13955223880597015,0.8604477611940299,0.0,0.001119402985074627,0.028358208955223882,0.12388059701492538,0.02164179104477612,0.0014925373134328358,0.006343283582089552,0.0014925373134328358,0.17649253731343284,1.4541044776119403,0.9456040480708412,0.05439595192915876,0.0,0.0,0.7293233082706767,0.2593984962406015,0.007518796992481203,0.0037593984962406013
1,1,cautious,fixed,0.1,100,26.6,22,22.160838744871405,0.16090225563909774,0.8390977443609022,0.0,0.0015037593984962407,0.02819548872180451,0.14135338345864662,0.02293233082706767,0.002255639097744361,0.006390977443609023,0.0015037593984962407,0.1962406015037594,1.4597744360902256,0.928476821192053,0.07152317880794702,0.0,0.0,0.7386018237082067,0.25835866261398177,0.00303951367781155,0.0
2,1,cautious,fixed,0.1,100,27.41,16,21.893039815162165,0.13060926669098868,0.8693907333090113,0.0,0.004013133892739876,0.020795330171470266,0.11565122218168551,0.02116016052535571,0.001459321415541773,0.005472455308281649,0.0010944910616563297,0.16307916818679313,1.4330536300620211,0.9385245901639344,0.06147540983606557,0.0,0.0,0.7104377104377104,0.2727272727272727,0.010101010101010102,0.006734006734006734
3,1,cautious,fixed,0.1,100,26.55,24,22.119737839862665,0.1657250470809793,0.8342749529190208,0.0,0.0026365348399246705,0.031638418079096044,0.14990583804143126,0.022598870056497175,0.0022598870056497176,0.0064030131826741995,0.0022598870056497176,0.20903954802259886,1.3977401129943503,0.9262187088274044,0.07378129117259552,0.0,0.0,0.7287066246056783,0.26813880126182965,0.0,0.0031545741324921135
4,1,cautious,fixed,0.1,100,26.8,22,21.976989179043624,0.1328358208955224,0.8671641791044776,0.0,0.0026119402985074628,0.024626865671641792,0.11604477611940299,0.023880597014925373,0.0033582089552238806,0.005597014925373134,0.0029850746268656717,0.1705223880597015,1.4257462686567164,0.9355432780847146,0.06445672191528545,0.0,0.0,0.6936026936026936,0.30303030303030304,0.003367003367003367,0.0
